국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
미국🇺🇸,43942335,9838383,21819,709119,33394833,1.6,76.0,132779,331002651
인도🇮🇳,33714241,289782,8944,447699,32976760,1.3,97.8,24431,1380004385
브라질🇧🇷,21366395,410502,8318,594702,20361191,2.8,95.3,100520,212559417
영국🇬🇧,7701715,1346396,878,136208,6219111,1.8,80.7,113959,67886011
러시아🇷🇺,7464708,623692,2300,205531,6635485,2.8,88.9,51151,145934462
터키🇹🇷,7066688,480881,633,63372,6522435,0.9,92.3,83789,84339067
프랑스🇫🇷,6995628,141600,1609,116537,6737491,1.7,96.3,107174,65273511
이란🇮🇷,5559691,451694,6124,119888,4988109,2.2,89.7,66192,83992949
아르헨티나🇦🇷,5251940,23383,1200,114954,5113603,2.2,97.4,116204,45195774
콜롬비아🇨🇴,4952690,33125,542,126178,4793387,2.5,96.8,97335,50882891
스페인🇪🇸,4951640,129320,837,86298,4736022,1.7,95.6,105956,46754778
이탈리아🇮🇹,4662087,101080,488,130742,4430265,2.8,95.0,77157,60461826
독일🇩🇪,4212201,139952,1435,94049,3978200,2.2,94.4,50275,83783942
인도네시아🇮🇩,4211460,38652,N/A,141709,4031099,3.4,95.7,15397,273523615
멕시코🇲🇽,3635807,368408,4798,275676,2991723,7.6,82.3,28199,128932753
폴란드🇵🇱,2904631,166915,168,75601,2662115,2.6,91.7,76747,37846611
남아프리카 공화국🇿🇦,2897521,47493,546,87216,2762812,3.0,95.4,48855,59308690
필리핀🇵🇭,2522965,132139,3170,37686,2353140,1.5,93.3,23024,109581078
우크라이나🇺🇦,2401956,98022,177,55863,2248071,2.3,93.6,54922,43733762
말레이시아🇲🇾,2209194,177560,978,25695,2005939,1.2,90.8,68257,32365999
페루🇵🇪,2173354,N/A,1025,199314,N/A,9.2,N/A,65915,32971854
네덜란드🇳🇱,1999592,N/A,160,18162,N/A,0.9,N/A,116697,17134872
이라크🇮🇶,1998615,72406,516,22187,1904022,1.1,95.3,49689,40222493
일본🇯🇵*,1698344,37142,1066,17577,1643625,1.0,96.8,13428,126476461
체코🇨🇿,1690288,6234,36,30454,1653600,1.8,97.8,157838,10708981
칠레🇨🇱,1652795,6762,389,37449,1608584,2.3,97.3,86460,19116201
캐나다🇨🇦,1612431,46453,638,27698,1538280,1.7,95.4,42722,37742154
태국🇹🇭,1581415,116711,3324,16498,1448206,1.0,91.6,22656,69799978
방글라데시🇧🇩,1553873,12527,1408,27470,1513876,1.8,97.4,9435,164689383
이스라엘🇮🇱,1270230,56889,641,7684,1205657,0.6,94.9,146753,8655535
파키스탄🇵🇰,1241825,49968,4015,27638,1164219,2.2,93.8,5622,220892340
벨기에🇧🇪,1238358,60435,206,25568,1152355,2.1,93.1,106851,11589623
루마니아🇷🇴,1210810,69656,1267,36658,1104496,3.0,91.2,62939,19237691
스웨덴🇸🇪,1151173,N/A,35,14808,N/A,1.3,N/A,113986,10099265
포르투갈🇵🇹,1067775,30547,74,17962,1019266,1.7,95.5,104718,10196709
모로코🇲🇦,929699,14280,552,14199,901220,1.5,96.9,25220,36910560
세르비아🇷🇸,926269,125865,251,8142,792262,0.9,85.5,106012,8737371
카자흐스탄🇰🇿,880709,53945,221,11100,815664,1.3,92.6,46904,18776707
쿠바🇨🇺,866808,32751,406,7330,826727,0.8,95.4,76528,11326616
스위스🇨🇭,837767,66947,209,11079,759741,1.3,90.7,96800,8654622
헝가리🇭🇺,821526,7532,74,30179,783815,3.7,95.4,85041,9660351
요르단🇯🇴,820798,12328,446,10697,797773,1.3,97.2,80446,10203134
네팔🇳🇵,793271,18422,N/A,11115,763734,1.4,96.3,27226,29136808
베트남🇻🇳,770640,191763,N/A,18936,559941,2.5,72.7,7917,97338579
오스트리아🇦🇹,738763,19917,240,10986,707860,1.5,95.8,82026,9006398
아랍에미레이트🇦🇪,735457,5518,N/A,2094,727845,0.3,99.0,74361,9890402
튀니지🇹🇳,705474,7242,316,24794,673438,3.5,95.5,59692,11818619
