국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
쿠바,🇨🇺,872425,31043.0,421.0,7378,834004.0,0.8,95.6,77024,11326616,Cuba,20298170,89.6,79.8,43.6,270811
스위스,🇨🇭,839218,62199.0,186.0,11087,765932.0,1.3,91.3,96968,8654622,Switzerland,10358035,60.6,64.3,58.3,28480
헝가리,🇭🇺,822072,7348.0,81.0,30185,784539.0,3.7,95.4,85098,9660351,Hungary,11167215,57.1,60.2,57.7,5617
요르단,🇯🇴,821840,12397.0,480.0,10703,798740.0,1.3,97.2,80651,10203134,Jordan,6960192,34.6,36.6,32.3,16091
네팔,🇳🇵,794163,18193.0,395.3333333333333,11123,764847.0,1.4,96.3,27256,29136808,Nepal,13166598,23.1,23.9,21.7,186712
베트남,🇻🇳,779398,176791.0,310.66666666666663,19098,583509.0,2.5,74.9,8007,97338579,Vietnam,39232772,20.3,32.1,8.6,621033
오스트리아,🇦🇹,741046,19979.0,226.0,10998,710069.0,1.5,95.8,82280,9006398,Austria,10802266,61.0,64.5,60.9,9919
아랍에미레이트,🇦🇪,735727,5437.0,260.5,2095,728195.0,0.3,99.0,74388,9890402,UAE,19963359,92.9,85.9,76.1,59157
튀니지,🇹🇳,706314,7482.0,295.0,24842,673990.0,3.5,95.4,59763,11818619,Tunisia,7425277,31.5,40.5,29.0,36864
그리스,🇬🇷,651378,28545.0,322.0,14751,608082.0,2.3,93.4,62701,10423054,Greece,12088975,56.4,59.9,56.6,22088
레바논,🇱🇧,622983,22532.0,200.0,8306,592145.0,1.3,95.0,91365,6825445,Lebanon,2929966,21.4,23.5,19.3,28922
조지아,🇬🇪,611269,19547.0,102.5,8917,582805.0,1.5,95.3,153232,3989167,Georgia,1760878,23.6,26.2,21.1,12798
과테말라,🇬🇹,553289,28158.0,5.0,13453,511678.0,2.4,92.5,31104,17915568,Guatemala,6757605,19.2,24.9,13.1,73439
사우디아라비아,🇸🇦,547090,2252.0,224.0,8713,536125.0,1.6,98.0,15715,34813871,Saudi Arabia,41886224,61.4,68.4,54.4,101318
벨라루스,🇧🇾,536097,14658.0,336.5,4114,517325.0,0.8,96.5,56734,9449323,Belarus,3389520,17.9,19.8,16.0,26145
코스타리카,🇨🇷,528077,95376.0,449.0,6316,426385.0,1.2,80.7,104064,5094118,Costa Rica,5278479,52.0,64.5,39.5,12
스리랑카,🇱🇰,515524,46651.0,604.0,12786,456087.0,2.5,88.5,24119,21413249,Sri Lanka,26096107,59.8,66.0,53.3,167003
에콰도르,🇪🇨,508655,32028.0,759.0,32747,443880.0,6.4,87.3,28863,17643054,Ecuador,20571335,59.6,64.2,57.0,16381
볼리비아,🇧🇴,499648,22033.0,220.0,18716,458899.0,3.7,91.8,42804,11673021,Bolivia,6700654,29.0,36.8,28.2,33238
불가리아,🇧🇬,497970,42771.0,449.0,20725,434474.0,4.2,87.2,71975,6948445,Bulgaria,2521738,18.1,17.3,19.0,5780
아제르바이잔,🇦🇿,481401,21957.0,255.0,6476,452968.0,1.3,94.1,47650,10139177,Azerbaijan,8350575,41.8,47.2,36.4,53286
파나마,🇵🇦,466589,3420.0,61.0,7219,455950.0,1.5,97.7,108138,4314767,Panama,5367816,63.6,69.7,57.5,16408
미얀마,🇲🇲,461066,28059.0,41.0,17631,415376.0,3.8,90.1,8502,54409800,Myanmar,9001616,8.5,10.5,6.6,163440
파라과이,🇵🇾,459899,751.0,21.0,16193,442955.0,3.5,96.3,64486,7132538,Paraguay,4488153,31.4,36.7,26.1,9935
쿠웨이트,🇰🇼,411572,665.0,10.0,2448,408459.0,0.6,99.2,96382,4270571,Kuwait,2380000,25.1,56.2,19.4,12990
슬로바키아,🇸🇰,411080,11088.0,119.0,12620,387372.0,3.1,94.2,75294,5459642,Slovakia,4762272,43.7,44.8,41.3,6412
크로아티아,🇭🇷,403080,8101.0,99.0,8628,386351.0,2.1,95.8,98186,4105267,Croatia,3413174,42.0,44.5,41.7,6307
우루과이,🇺🇾,388700,1332.0,13.0,6053,381315.0,1.6,98.1,111932,3473730,Uruguay,6214949,88.3,77.7,72.9,20806
아일랜드,🇮🇪,387218,40804.0,63.0,5209,341205.0,1.3,88.1,78712,4937786,Ireland,7200652,72.7,76.1,74.1,9025
베네수엘라,🇻🇪,366150,12812.0,681.0,4443,348895.0,1.2,95.3,12876,28435940,Venezuela,14050000,25.3,31.6,18.9,246316
온두라스,🇭🇳,365259,245522.0,418.0,9755,109982.0,2.7,30.1,36878,9904607,Honduras,5196072,26.6,32.8,20.4,46577
덴마크,🇩🇰,358369,4939.0,16.0,2654,350776.0,0.7,97.9,61871,5792202,Denmark,8815419,75.9,76.7,75.1,4355
도미니카 공화국,🇩🇴,357982,5076.0,156.0,4041,348865.0,1.1,97.5,33044,10847910,Dominican Republic,11828826,57.1,58.2,55.5,22374
에티오피아,🇪🇹,343104,27377.0,780.0,5488,310239.0,1.6,90.4,2995,114963588,Ethiopia,3535329,1.8,2.9,0.8,50195
리비아,🇱🇾,339269,76059.0,497.0,4636,258574.0,1.4,76.2,49375,6871292,Libya,1546967,11.8,20.7,2.8,11651
리투아니아,🇱🇹,329869,22798.0,214.0,4965,302106.0,1.5,91.6,121173,2722289,Lithuania,3199916,57.5,62.5,57.7,21363
대한민국,🇰🇷,308725,33527.0,331.0,2474,272724.0,0.8,88.3,6022,51269185,South Korea,62462921,60.4,74.5,46.3,533067
오만,🇴🇲,303738,2096.0,20.0,4096,297546.0,1.3,98.0,59479,5106626,Oman,4946987,59.0,69.1,48.9,38813
이집트,🇪🇬,303045,30124.0,90.0,17263,255658.0,5.7,84.4,2961,102334404,Egypt,15057720,7.6,9.7,5.5,303446
몽골,🇲🇳,301434,8848.0,192.0,1258,291328.0,0.4,96.6,91949,3278290,Mongolia,4545348,68.9,68.3,64.5,16573
슬로베니아,🇸🇮,292333,13112.0,74.0,4556,274665.0,1.6,94.0,140617,2078938,Slovenia,2113404,52.1,54.1,48.1,6460
몰도바,🇲🇩,291252,9405.0,174.0,6732,275115.0,2.3,94.5,72593,4033963,Moldova,1392707,26.0,22.9,29.0,3561
바레인,🇧🇭,274925,733.0,5.0,1389,272803.0,0.5,99.2,161604,1701575,Bahrain,2568320,86.5,78.4,75.0,3999
아르메니아,🇦🇲,260675,14185.0,48.5,5299,241191.0,2.0,92.5,87969,2963243,Armenia,408535,6.9,8.9,4.8,5965
케냐,🇰🇪,248770,2474.0,92.0,5116,241180.0,2.1,96.9,4634,53771296,Kenya,3613357,3.8,5.7,1.9,30756
카타르,🇶🇦,236558,1282.0,15.0,605,234671.0,0.3,99.2,82108,2881053,Qatar,4702517,84.1,84.4,79.4,4415
보스니아 헤르체고비나,🇧🇦,233775,30983.0,20.0,10574,192218.0,4.5,82.2,71255,3280819,Bosnia and Herzegovina,1060145,16.1,19.2,12.9,7334
잠비아,🇿🇲,208912,418.0,25.0,3647,204847.0,1.7,98.1,11364,18383955,Zambia,711264,1.9,1.8,2.1,6903
나이지리아,🇳🇬,205047,9092.0,11.0,2695,193260.0,1.3,94.3,997,206139589,Nigeria,6552979,1.6,2.3,0.9,59719
알제리,🇩🇿,203045,58171.0,14.0,5797,139077.0,2.9,68.5,4634,43851044,Algeria,14082920,16.2,13.9,9.3,292376
북마케도니아,🇲🇰,190463,11962.0,18.5,6630,171871.0,3.5,90.2,91637,2083374,North Macedonia,1495762,36.0,37.6,34.3,5856
노르웨이,🇳🇴,188295,98482.0,23.0,861,88952.0,0.5,47.2,34835,5421241,Norway,7757255,72.4,77.2,67.6,17426
키르기스스탄,🇰🇬,178444,2737.0,131.0,2605,173102.0,1.5,97.0,27351,6524195,Kyrgyzstan,1422970,11.1,12.7,9.5,10359
보츠와나,🇧🇼,178050,2679.0,1.0,2367,173004.0,1.3,97.2,75714,2351627,Botswana,606699,12.8,17.2,9.5,2729
우즈베키스탄,🇺🇿,173409,3816.0,23.0,1234,168359.0,0.7,97.1,5181,33469203,Uzbekistan,18526941,27.9,29.4,11.1,155946
알바니아,🇦🇱,168782,10436.0,3.0,2668,155678.0,1.6,92.2,58886,2877797,Albania,1715133,29.9,32.7,27.0,8220
라트비아,🇱🇻,157083,9210.0,61.0,2706,145167.0,1.7,92.4,83280,1886198,Latvia,1621953,42.2,47.4,43.5,4283
에스토니아,🇪🇪,155469,10801.0,18.0,1352,143316.0,0.9,92.2,117199,1326535,Estonia,1361564,51.4,57.0,45.7,3361
아프가니스탄,🇦🇫,155174,23339.0,1124.0,7204,124631.0,4.6,80.3,3986,38928346,Afghanistan,3133227,4.2,2.6,1.2,765279
모잠비크,🇲🇿,150572,1817.0,32.0,1912,146843.0,1.3,97.5,4817,31255435,Mozambique,3644423,5.8,6.1,5.6,54234
핀란드,🇫🇮,140889,93827.0,25.0,1062,46000.0,0.8,32.6,25428,5540720,Finland,7523959,68.2,74.8,61.6,20879
몬테네그로,🇲🇪,130500,7223.0,18.5,1914,121363.0,1.5,93.0,208609,628066,Montenegro,452830,36.3,38.6,33.7,2132
짐바브웨,🇿🇼,130272,3036.0,12.0,4615,122621.0,3.5,94.1,8765,14862924,Zimbabwe,5263782,17.7,20.5,14.8,31282
나미비아,🇳🇦,127493,1211.0,18.0,3494,122788.0,2.7,96.3,50176,2540905,Namibia,407502,8.3,10.5,6.5,4761
가나,🇬🇭,127016,3410.0,42.0,1150,122456.0,0.9,96.4,4088,31072940,Ghana,1653422,2.7,2.9,2.5,3330
우간다,🇺🇬,123445,24210.0,268.0,3152,96083.0,2.6,77.8,2699,45741007,Uganda,2058553,2.6,4.1,1.0,90201
키프로스,🇨🇾,118298,26990.0,33.0,553,90755.0,0.5,76.7,97981,1207359,Cyprus,1147010,65.5,67.9,63.1,1090
캄보디아,🇰🇭,111673,7149.0,64.33333333333333,2302,102222.0,2.1,91.5,6679,16718965,Cambodia,23830570,72.2,79.6,66.0,213009
코소보,🇽🇰,107507,-85.0,95.66666666666666,2269,105323.0,2.1,98.0,59381,1810463,Kosovo,1283840,35.7,43.3,28.1,15384
엘살바도르,🇸🇻,104348,14275.0,127.0,3222,86851.0,3.1,83.2,16088,6486205,El Salvador,7396969,57.3,62.8,51.6,32549
호주,🇦🇺,102729,26670.0,301.0,1278,74781.0,1.2,72.8,4029,25499884,Australia,27109766,53.1,63.1,41.9,285221
르완다,🇷🇼,97190,50462.0,11.0,1259,45469.0,1.3,46.8,7517,12952218,Rwanda,3740279,15.1,16.9,13.2,54654
중국,🇨🇳,96106,949.0,20.5,4636,90521.0,4.8,94.2,67,1439323776,Mainland China,2203185000,78.7,78.6,73.0,3171286
싱가포르,🇸🇬,91775,15469.0,30.0,85,76221.0,0.1,83.1,16075,5850342,Singapore,9306870,81.6,82.1,79.2,23733
카메룬,🇨🇲,85414,3613.0,152.0,1368,80433.0,1.6,94.2,3477,26545863,Cameroon,461201,0.9,1.5,0.3,995
몰디브,🇲🇻,84579,1579.0,23.0,231,82769.0,0.3,97.9,156731,540544,Maldives,727664,97.8,105.3,90.3,759
자메이카,🇯🇲,83342,28952.0,42.0,1859,52531.0,2.2,63.0,28194,2961167,Jamaica,743184,13.6,19.3,8.9,4756
룩셈부르크,🇱🇺,77998,1131.0,8.0,835,76032.0,1.1,97.5,124813,625978,Luxembourg,784482,63.9,68.1,65.1,592
세네갈,🇸🇳,73764,154.0,7.0,1858,71752.0,2.5,97.3,4405,16743927,Senegal,1784832,5.5,7.6,3.5,2395
말라위,🇲🇼,61528,4526.0,67.0,2279,54723.0,3.7,88.9,3218,19129952,Malawi,1087426,2.7,3.9,2.4,7915
코트디부아르,🇨🇮,60020,1692.0,47.33333333333333,611,57717.0,1.0,96.2,2275,26378274,Ivory Coast,1968171,3.7,5.6,1.4,33239
콩고민주공화국,🇨🇩,56862,24920.0,27.666666666666664,1084,30858.0,1.9,54.3,635,89561403,DR Congo,134945,0.1,0.1,0.1,432
앙골라,🇦🇴,56040,7093.0,8.0,1526,47421.0,2.7,84.6,1705,32866272,Angola,3134137,5.2,7.1,3.3,44858
피지,🇫🇯,50872,13527.0,10.0,621,36724.0,1.2,72.2,56839,896445,Fiji,975268,54.5,65.7,43.3,9017
트리니다드 토바고,🇹🇹,50229,4188.0,22.0,1466,44575.0,2.9,88.7,35891,1399488,Trinidad and Tobago,1047111,37.5,41.5,34.4,3453
에스와티니,🇸🇿,45870,629.0,10.0,1216,44025.0,2.7,96.0,39538,1160164,Eswatini,240002,10.8,18.7,18.1,888
마다가스카르,🇲🇬,42898,618.0,3.0,958,41322.0,2.2,96.3,1549,27691018,Madagascar,417648,0.8,0.7,0.7,5145
수리남,🇸🇷,40989,13225.0,17.0,870,26894.0,2.1,65.6,69872,586632,Suriname,394029,33.0,37.8,28.2,2208
수단,🇸🇩,38245,3291.0,20.0,2900,32054.0,7.6,83.8,872,43849260,Sudan,1650828,1.9,1.5,1.3,21549
카보베르데,🇨🇻,37501,605.0,23.0,336,36560.0,0.9,97.5,67449,555987,Cape Verde,414300,37.7,51.7,23.7,3741
몰타 공화국,🇲🇹,37127,729.0,2.0,457,35941.0,1.2,96.8,84085,441543,Malta,818593,82.9,85.1,85.1,824
모리타니,🇲🇷,35942,685.0,22.0,773,34484.0,2.2,95.9,7730,4649658,Mauritania,890122,11.0,7.9,0.5,2813
가이아나,🇬🇾,31359,3942.0,31.0,778,26639.0,2.5,84.9,39869,786552,Guyana,538748,34.3,45.2,23.4,2082
기니,🇬🇳,30382,1206.0,24.0,378,28798.0,1.2,94.8,2314,13132795,Guinea,1699898,6.2,8.5,3.9,41480
가봉,🇬🇦,29515,2691.0,26.0,183,26641.0,0.6,90.3,13261,2225734,Gabon,180320,4.3,4.9,3.8,1099
토고,🇹🇬,25323,2355.0,19.0,227,22741.0,0.9,89.8,3059,8278724,Togo,997632,6.2,7.4,5.0,23544
라오스,🇱🇦,23488,17903.0,12.0,17,5568.0,0.1,23.7,3228,7275560,Laos,4402770,30.7,39.1,26.7,9906
베냉,🇧🇯,22958,5510.0,5.0,154,17294.0,0.7,75.3,1971,12123200,Benin,226269,1.0,1.3,0.2,1696
세이셸,🇸🇨,21347,329.0,10.0,115,20903.0,0.5,97.9,217058,98347,Seychelles,148402,77.3,80.5,74.1,154
바하마,🇧🇸,20842,1998.0,15.0,523,18321.0,2.5,87.9,53361,393244,Bahamas,184461,24.2,30.0,18.4,210
벨리즈,🇧🇿,20295,2129.0,10.0,408,17758.0,2.0,87.5,51040,397628,Belize,304218,37.3,47.6,28.2,2922
소말리아,🇸🇴,19980,9346.0,8.5,1111,9523.0,5.6,47.7,1257,15893222,Somalia,464359,1.5,1.7,1.4,9868
파푸아뉴기니,🇵🇬,19903,1243.0,7.0,229,18431.0,1.2,92.6,2225,8947024,Papua New Guinea,164776,1.0,1.4,0.5,2517
동티모르,🇹🇱,19455,778.0,7.0,115,18562.0,0.6,95.4,14756,1318445,Timor-Leste,675891,26.1,32.8,19.4,3941
타지키스탄,🇹🇯,17084,0.0,7.0,124,16960.0,0.7,99.3,1791,9537645,Tajikistan,3872421,20.8,24.8,16.8,70941
대만,🇹🇼,16216,1632.0,7.0,842,13742.0,5.2,84.7,681,23816775,Taiwan,14763330,31.3,53.2,9.4,202336
아루바,🇦🇼,15448,241.0,7.0,166,15041.0,1.1,97.4,144690,106766,Aruba,155753,69.5,72.5,66.6,150
모리셔스,🇲🇺,15391,13458.0,5.5,79,1854.0,0.5,12.0,12272,1271768,Mauritius,1633952,64.5,66.8,62.2,1155
안도라,🇦🇩,15192,76.0,4.0,130,14986.0,0.9,98.6,196842,77265,Andorra,95918,62.3,68.7,55.9,113
말리,🇲🇱,15183,350.0,4.0,548,14285.0,3.6,94.1,750,20250833,Mali,405053,1.1,1.7,1.2,1460
니카라과,🇳🇮,14448,10019.0,4.0,204,4225.0,1.4,29.2,2181,6624554,Nicaragua,788502,6.0,7.7,4.4,2155
레소토,🇱🇸,14395,7162.0,4.0,403,6830.0,2.8,47.4,6720,2142249,Lesotho,332954,8.1,12.2,11.7,6246
콩고공화국,🇨🇬,14244,1630.0,4.0,193,12421.0,1.4,87.2,2581,5518087,Republic of the Congo,329905,3.6,4.7,2.5,1525
부르키나파소,🇧🇫,14213,161.0,4.0,183,13869.0,1.3,97.6,680,20903273,Burkina Faso,254545,0.6,1.2,0.8,8839
지부티,🇩🇯,12636,424.0,4.0,167,12045.0,1.3,95.3,12859,988000,Djibouti,67229,3.1,3.8,2.4,174
홍콩,🇭🇰,12214,100.0,4.0,213,11901.0,1.7,97.4,1629,7496981,Hong Kong,8622733,57.3,59.5,55.2,28497
남수단,🇸🇸,11981,283.0,4.0,128,11570.0,1.1,96.6,1070,11193725,South Sudan,103751,0.4,0.6,0.2,996
적도 기니,🇬🇶,11806,1439.0,1.0,142,10225.0,1.2,86.6,8706,1402985,Equatorial Guinea,387510,14.2,16.4,12.1,2838
아이슬란드,🇮🇸,11760,355.0,3.0,33,11372.0,0.3,96.7,34524,341243,Iceland,551110,77.2,78.8,77.2,1103
중앙아프리카 공화국,🇨🇫,11371,4412.0,2.0,100,6859.0,0.9,60.3,2354,4829767,Central African Republic,187160,2.0,3.0,0.2,212
세인트루시아,🇱🇨,11320,1500.0,15.0,195,9625.0,1.7,85.0,61647,183627,St. Lucia,76224,21.2,25.0,17.3,495
감비아,🇬🇲,9930,24.0,3.0,335,9571.0,3.4,96.4,4111,2416668,Gambia,207195,4.4,7.8,7.3,357
예멘,🇾🇪,9039,1707.0,23.0,1715,5617.0,19.0,62.1,303,29825964,Yemen,322934,0.5,1.0,0.1,244
바베이도스,🇧🇧,7981,1093.0,12.0,69,6819.0,0.9,85.4,27772,287375,Barbados,234124,40.8,46.1,35.5,1684
맨섬,🇮🇲,7510,363.0,1.0,51,7096.0,0.7,94.5,88718,85033,Isle of Man,129318,76.1,77.0,75.1,30
브루나이,🇧🇳,6950,2188.0,36.0,40,4722.0,0.6,67.9,15886,437479,Brunei,443676,48.2,58.7,37.8,5261
시에라리온,🇸🇱,6393,1891.0,20.0,121,4381.0,1.9,68.5,801,7976983,Sierra Leone,232375,1.5,2.4,0.5,805
기니비사우,🇬🇼,6103,673.0,4.0,135,5295.0,2.2,86.8,3101,1968001,Guinea-Bissau,94715,2.7,4.9,0.4,3807
니제르,🇳🇪,5996,45.0,3.0,201,5750.0,3.4,95.9,248,24206644,Niger,621853,1.3,1.7,0.4,9294
라이베리아,🇱🇷,5794,53.0,2.0,283,5458.0,4.9,94.2,1146,5057681,Liberia,284246,3.1,2.3,0.6,9467
지브롤터,🇬🇮,5532,62.0,2.0,97,5373.0,1.8,97.1,164465,33691,Gibraltar,79502,116.9,117.4,116.4,30
산마리노,🇸🇲,5428,27.0,2.0,91,5310.0,1.7,97.8,159972,33931,San Marino,47088,69.2,71.8,71.8,9
버뮤다,🇧🇲,5145,1470.0,1.0,62,3613.0,1.2,70.2,82613,62278,Bermuda,86676,68.8,69.6,68.0,60
그레나다,🇬🇩,5039,1543.0,4.0,135,3361.0,2.7,66.7,44782,112523,Grenada,55663,25.5,30.4,20.7,579
차드,🇹🇩,5036,8.0,7.0,174,4854.0,3.5,96.4,307,16425864,Chad,142548,0.4,0.7,0.2,2785
신트마르턴,🇸🇽,4263,175.0,10.0,66,4022.0,1.5,94.3,99426,42876,Sint Maarten,49310,58.7,61.2,56.2,22
뉴질랜드,🇳🇿,4248,256.0,5.0,27,3965.0,0.6,93.3,881,4822233,New Zealand,5087231,51.6,66.0,37.2,38574
코모로,🇰🇲,4137,29.0,4.0,147,3961.0,3.6,95.7,4757,869601,Comoros,336863,19.3,20.0,18.5,249
상투메 프린시페,🇸🇹,3408,652.0,3.0,50,2706.0,1.5,79.4,15756,219159,Sao Tome and Principe,82679,19.4,28.4,10.4,2420
세인트빈센트 그레나딘,🇻🇨,3369,943.0,2.0,19,2407.0,0.6,71.4,30855,110940,St. Vincent and the Grenadines,33077,15.0,18.2,11.9,113
모나코,🇲🇨,3312,29.0,2.0,33,3250.0,1.0,98.1,84425,39242,Monaco,49980,64.1,68.4,59.8,120
도미니카 연방,🇩🇲,3293,598.0,5.5,15,2680.0,0.5,81.4,45745,71986,Dominica,44624,31.4,33.3,29.6,82
앤티가 바부다,🇦🇬,3160,961.0,9.0,76,2123.0,2.4,67.2,32554,97929,Antigua and Barbuda,89252,46.0,50.1,41.9,1048
터크스 케이커스 제도,🇹🇨,2836,55.0,1.0,23,2758.0,0.8,97.2,73249,38717,Turks & Caicos,52374,68.9,72.2,65.6,77
부탄,🇧🇹,2601,5.0,1.0,3,2593.0,0.1,99.7,3371,771608,Bhutan,1068414,71.7,77.1,66.3,3185
세인트키츠 네비스,🇰🇳,1891,899.0,1.0,12,980.0,0.6,51.8,35546,53199,Saint Kitts and Nevis,47098,41.3,44.2,38.5,31
페로 제도,🇫🇴,1140,79.0,1.3333333333333333,2,1059.0,0.2,92.9,23760,48863,Faroe Islands,74129,75.6,77.7,73.6,104
케이맨 제도,🇰🇾,820,56.0,1.6666666666666665,2,762.0,0.2,92.9,12477,65722,Cayman Islands,110096,84.7,84.7,84.7,685
그린란드,🇬🇱,571,130.0,2.0,0,441.0,-,77.2,10093,56770,Greenland,102357,89.8,124.5,64.5,300
앵귈라,🇦🇮,389,26.0,2.0,1,362.0,0.3,93.1,25928,15003,Anguilla,18584,61.9,63.3,60.6,2
마카오,🇲🇴,71,8.0,2.0,0,63.0,-,88.7,109,649335,Macau,649564,47.8,51.2,44.6,4123
포클랜드 제도,🇫🇰,67,4.0,2.0,0,63.0,-,94.0,19253,3480,Falkland Islands,4407,73.5,87.7,59.2,202
몬트세랫,🇲🇸,33,2.0,2.0,1,30.0,3.0,90.9,6611,4992,Montserrat,2871,28.7,29.7,27.8,2
솔로몬 제도,🇸🇧,20,0.0,2.0,0,20.0,-,100.0,29,686884,Solomon Islands,97744,7.6,11.6,3.6,2902
사모아,🇼🇸,3,0.0,2.0,0,3.0,-,100.0,15,198414,Samoa,149431,37.2,49.3,25.0,981
세인트헬레나,🇸🇭,2,0.0,2.0,0,2.0,-,100.0,329,6077,St. Helena,7892,65.8,72.7,58.9,8
