국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
미국,🇺🇸,44055692,9823512.0,21296.0,711222,33520958.0,1.6,76.1,133437,331002651,U.S.,391152574,61.1,64.4,55.8,701422
인도,🇮🇳,33718984,284976.0,8944.0,447828,32986180.0,1.3,97.8,24448,1380004385,India,876538633,32.0,46.7,16.8,7178901
브라질,🇧🇷,21381790,403027.0,8318.0,595520,20383243.0,2.8,95.3,100676,212559417,Brazil,233261963,56.5,71.3,41.9,1317163
영국,🇬🇧,7736235,1344510.0,831.0,136375,6255350.0,1.8,80.9,114476,67886011,U.K.,93565474,70.0,73.0,67.1,63126
러시아,🇷🇺,7487138,626809.0,2300.0,206388,6653941.0,2.8,88.9,51305,145934462,Russia,89865316,30.6,32.6,28.5,214966
터키,🇹🇷,7095580,479198.0,633.0,63611,6552771.0,0.9,92.4,84480,84339067,Turkey,108761681,65.4,64.5,53.0,381129
프랑스,🇫🇷,7002393,135537.0,1609.0,116615,6750241.0,1.7,96.4,107367,65273511,France,94250528,72.7,77.4,74.6,229555
이란,🇮🇷,5572962,443129.0,6016.0,120160,5009673.0,2.2,89.9,66350,83992949,Iran,43372270,26.0,35.5,16.8,1368407
아르헨티나,🇦🇷,5253765,23643.0,1184.0,115038,5115084.0,2.2,97.4,116278,45195774,Argentina,51222138,57.0,65.7,48.3,222650
콜롬비아,🇨🇴,4954376,32182.0,542.0,126219,4795975.0,2.5,96.8,97397,50882891,Colombia,39701907,39.4,51.4,32.8,169329
스페인,🇪🇸,4953930,122061.0,771.0,86358,4745511.0,1.7,95.8,106015,46754778,Spain,69936755,75.2,81.0,78.5,72816
이탈리아,🇮🇹,4665049,98872.0,459.0,130807,4435370.0,2.8,95.1,77210,60461826,Italy,84351559,69.9,74.5,74.5,211345
독일,🇩🇪,4221331,137491.0,1435.0,94140,3989700.0,2.2,94.5,50495,83783942,Germany,107197993,64.5,67.9,64.2,194817
인도네시아,🇮🇩,4213414,37412.0,3116.5,141826,4034176.0,3.4,95.7,15404,273523615,Indonesia,139232210,26.1,32.9,18.4,1916012
멕시코,🇲🇽,3645599,370163.0,4798.0,276376,2999060.0,7.6,82.3,28275,128932753,Mexico,99366403,38.9,49.8,35.0,536693
폴란드,🇵🇱,2905866,168111.0,174.0,75623,2662132.0,2.6,91.6,76780,37846611,Poland,37158644,48.9,52.1,51.1,25851
남아프리카 공화국,🇿🇦,2898888,45771.0,546.0,87417,2765700.0,3.0,95.4,48913,59308690,South Africa,17176603,16.4,20.7,14.3,116932
필리핀,🇵🇭,2535732,132339.0,3170.0,38164,2365229.0,1.5,93.3,23140,109581078,Philippines,44361285,20.7,23.5,19.2,369770
우크라이나,🇺🇦,2411622,104190.0,177.0,56080,2251352.0,2.3,93.4,55143,43733762,Ukraine,17867953,21.4,29.6,13.2,157673
말레이시아,🇲🇾,2220526,174492.0,985.0,25935,2020099.0,1.2,91.0,68991,32365999,Malaysia,43028919,66.0,70.6,60.7,300427
페루,🇵🇪,2174219,140073.66666666666,1021.0,199329,1982536.3333333333,9.2,92.43333333333334,65942,32971854,Peru,25912376,39.1,46.7,31.1,246687
네덜란드,🇳🇱,2001347,105655.33333333333,155.0,18168,1944973.6666666667,0.9,93.86666666666666,116800,17134872,Netherlands,23540559,68.3,70.3,63.6,20051
이라크,🇮🇶,2000869,71237.0,497.0,22221,1907411.0,1.1,95.3,49745,40222493,Iraq,7448300,9.5,11.7,7.3,110874
체코,🇨🇿,1690758,6284.0,38.0,30455,1654019.0,1.8,97.8,157882,10708981,Czech Republic,11788930,55.3,57.0,55.8,8874
칠레,🇨🇱,1653406,6944.0,386.0,37455,1609007.0,2.3,97.3,86492,19116201,Chile,31553676,82.6,78.5,73.8,109701
캐나다,🇨🇦,1615859,44777.0,776.0,27754,1543328.0,1.7,95.5,42926,37742154,Canada,56036106,74.7,76.2,70.6,105929
태국,🇹🇭,1591829,115423.0,3324.0,16620,1459786.0,1.0,91.7,22806,69799978,Thailand,46023016,33.1,42.4,22.8,640484
방글라데시,🇧🇩,1555051,12602.0,1408.0,27487,1514962.0,1.8,97.4,9442,164689383,Bangladesh,41466455,12.4,14.9,10.0,504273
이스라엘,🇮🇱,1275405,54167.0,659.0,7692,1213546.0,0.6,95.1,147567,8655535,Israel,14970627,82.7,67.3,62.1,29290
파키스탄,🇵🇰,1243385,48506.0,3948.0,27690,1167189.0,2.2,93.9,5629,220892340,Pakistan,79533208,19.4,28.3,13.4,670870
벨기에,🇧🇪,1240232,62296.0,206.0,25581,1152355.0,2.1,92.9,107012,11589623,Belgium,16644129,72.6,74.8,73.2,22185
루마니아,🇷🇴,1221636,74229.0,1320.0,36865,1110542.0,3.0,90.9,63502,19237691,Romania,10114580,26.1,28.2,27.5,20423
스웨덴,🇸🇪,1152027,52362.0,37.0,14814,1065304.5,1.3,93.2,114070,10099265,Sweden,13703515,66.3,69.2,63.3,30188
포르투갈,🇵🇹,1068530,30495.0,68.0,17968,1020067.0,1.7,95.5,104792,10196709,Portugal,15950862,77.6,86.9,84.0,23657
세르비아,🇷🇸,934440,127947.0,243.0,8187,798306.0,0.9,85.4,106948,8737371,Serbia,6409263,46.0,43.4,41.4,15790
모로코,🇲🇦,930891,13888.0,498.0,14225,902778.0,1.5,97.0,25249,36910560,Morocco,40273386,56.6,61.6,51.6,237441
카자흐스탄,🇰🇿,882634,52971.0,221.0,11142,818521.0,1.3,92.7,47007,18776707,Kazakhstan,14013701,37.6,40.4,34.4,56369
