areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2020-05-01,1263,88913
overview,United Kingdom,K02000001,2020-04-30,1441,87650
overview,United Kingdom,K02000001,2020-04-29,1488,86209
overview,United Kingdom,K02000001,2020-04-28,1518,84721
overview,United Kingdom,K02000001,2020-04-27,1538,83203
overview,United Kingdom,K02000001,2020-04-26,1355,81665
overview,United Kingdom,K02000001,2020-04-25,1254,80310
overview,United Kingdom,K02000001,2020-04-24,1526,79056
overview,United Kingdom,K02000001,2020-04-23,1514,77530
overview,United Kingdom,K02000001,2020-04-22,1529,76016
overview,United Kingdom,K02000001,2020-04-21,1712,74487
overview,United Kingdom,K02000001,2020-04-20,1734,72775
overview,United Kingdom,K02000001,2020-04-19,1657,71041
overview,United Kingdom,K02000001,2020-04-18,1629,69384
overview,United Kingdom,K02000001,2020-04-17,1967,67755
overview,United Kingdom,K02000001,2020-04-16,2011,65788
overview,United Kingdom,K02000001,2020-04-15,1880,63777
overview,United Kingdom,K02000001,2020-04-14,2088,61897
overview,United Kingdom,K02000001,2020-04-13,2162,59809
overview,United Kingdom,K02000001,2020-04-12,2066,57647
overview,United Kingdom,K02000001,2020-04-11,2163,55581
overview,United Kingdom,K02000001,2020-04-10,2463,53418
overview,United Kingdom,K02000001,2020-04-09,2629,50955
overview,United Kingdom,K02000001,2020-04-08,2967,48326
overview,United Kingdom,K02000001,2020-04-07,3150,45359
overview,United Kingdom,K02000001,2020-04-06,3046,42209
overview,United Kingdom,K02000001,2020-04-05,2918,39163
overview,United Kingdom,K02000001,2020-04-04,2922,36245
overview,United Kingdom,K02000001,2020-04-03,2930,33323
overview,United Kingdom,K02000001,2020-04-02,3286,30393
overview,United Kingdom,K02000001,2020-04-01,3567,27107
overview,United Kingdom,K02000001,2020-03-31,2832,23540
overview,United Kingdom,K02000001,2020-03-30,3192,20708
overview,United Kingdom,K02000001,2020-03-29,2489,17516
overview,United Kingdom,K02000001,2020-03-28,2192,15027
overview,United Kingdom,K02000001,2020-03-27,2227,12835
overview,United Kingdom,K02000001,2020-03-26,1927,10608
overview,United Kingdom,K02000001,2020-03-25,2085,8681
overview,United Kingdom,K02000001,2020-03-24,1717,6596
overview,United Kingdom,K02000001,2020-03-23,1274,4879
