date,newCasesByPublishDate,cumCasesByPublishDate,newVirusTests,cumVirusTests,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate,newAdmissions,cumAdmissions,covidOccupiedMVBeds,hospitalCases,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
2021-02-02,16840,3852623,606382.0,71642534,959,133395,2484,406665,3635,31766,374756.0,10021471,2166.0,498962,18.4,0.9
2021-02-01,18607,3835783,643204.0,71011933,1002,132436,2602,404181,3726,32960,350348.0,9646715,2587.0,496796,17.7,0.9
2021-01-31,21088,3817176,574012.0,70340312,990,131434,2407,401579,3687,32586,319038.0,9296367,3156.0,494209,17.1,0.9
2021-01-30,23275,3796088,439006.0,69736280,1022,130444,2471,399172,3806,33015,598389.0,8977329,10621.0,491053,16.5,0.9
2021-01-29,29079,3772813,662675.0,69288509,1152,129422,2687,396701,3832,33847,487756.0,8378940,2178.0,480432,15.4,0.9
2021-01-28,28680,3743734,753031.0,68606924,1222,128270,3046,394014,3918,34909,414419.0,7891184,1769.0,478254,14.5,0.9
2021-01-27,25308,3715054,771710.0,67828936,1227,127048,3058,390968,3937,35513,312378.0,7476765,2329.0,476485,13.8,0.9
2021-01-26,20089,3689746,596845.0,67040373,1169,125821,3151,387910,3961,37101,311060.0,7164387,1710.0,474156,13.2,0.9
2021-01-25,22195,3669658,542893.0,66422967,1255,124652,2931,384759,4032,37756,279757.0,6853327,1968.0,472446,12.6,0.9
2021-01-24,30004,3647463,412204.0,65861305,1232,123397,3112,381828,4077,37730,220249.0,6573570,818.0,470478,12.1,0.9
2021-01-23,33552,3617459,484485.0,65442601,1280,122165,3117,378716,4066,37398,491970.0,6353321,1043.0,469660,11.7,0.9
2021-01-22,40261,3583907,629416.0,64951149,1332,120885,3393,375599,4076,38257,478248.0,5861351,1821.0,468617,10.8,0.9
2021-01-21,37892,3543646,665330.0,64303048,1341,119553,3636,372206,3960,38059,409855.0,5383103,2760.0,466796,9.9,0.9
2021-01-20,38905,3505754,640856.0,63623219,1378,118212,4050,368570,3953,38739,363508.0,4973248,3411.0,464036,9.1,0.9
2021-01-19,33355,3466849,579194.0,62956912,1484,116834,4161,364520,3947,38846,343163.0,4609740,3759.0,460625,8.5,0.8
2021-01-18,37535,3433494,556689.0,62357805,1398,115350,4065,360359,3916,39254,204076.0,4266577,4565.0,456866,7.8,0.8
2021-01-17,38598,3395959,417329.0,61774304,1354,113952,3750,356294,3871,38169,190107.0,4062501,2239.0,452301,7.5,0.8
2021-01-16,41346,3357361,491137.0,61349606,1414,112598,3941,352544,3854,37715,296131.0,3872394,2620.0,450062,7.1,0.8
2021-01-15,55761,3316019,596727.0,60848505,1318,111184,3685,348603,3789,38132,341317.0,3576263,4208.0,447442,6.6,0.8
2021-01-14,48682,3260258,695148.0,60242686,1336,109866,4103,344918,3672,37691,316694.0,3234946,5257.0,443234,6.0,0.8
2021-01-13,47525,3211576,628556.0,59538320,1302,108530,4224,340815,3626,37487,278943.0,2918252,9745.0,437977,5.4,0.8
2021-01-12,45533,3164051,584760.0,58891289,1314,107228,4583,336591,3496,36981,207661.0,2639309,16065.0,428232,4.9,0.8
2021-01-11,46169,3118518,536947.0,58297536,1238,105914,4309,332008,3363,36751,145076.0,2431648,20768.0,412167,4.5,0.8
2021-01-10,54940,3072349,485874.0,57747184,1168,104676,3937,327699,3264,35391,,2286572,,391399,4.2,0.6999999999999998
