국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
미국,🇺🇸,43942335,9838383.0,21819.0,709119,33394833.0,1.6,76.0,132779,331002651,U.S.,390114328,60.9,64.3,55.3,716762
인도,🇮🇳,33714241,289782.0,8944.0,447699,32976760.0,1.3,97.8,24431,1380004385,India,870566939,31.8,46.2,16.4,7488509
브라질,🇧🇷,21366395,410502.0,8318.0,594702,20361191.0,2.8,95.3,100520,212559417,Brazil,232250878,56.3,71.1,41.4,3757702
영국,🇬🇧,7701715,1346396.0,878.0,136208,6219111.0,1.8,80.7,113959,67886011,U.K.,93500858,70.0,73.0,67.0,63103
러시아,🇷🇺,7464708,623692.0,2300.0,205531,6635485.0,2.8,88.9,51151,145934462,Russia,89682021,30.6,32.4,28.4,220487
터키,🇹🇷,7066688,480881.0,633.0,63372,6522435.0,0.9,92.3,83789,84339067,Turkey,108344725,65.1,64.4,52.7,386308
프랑스,🇫🇷,6995628,141600.0,1609.0,116537,6737491.0,1.7,96.3,107174,65273511,France,93817818,72.4,77.4,74.4,435139
이란,🇮🇷,5559691,451694.0,6124.0,119888,4988109.0,2.2,89.7,66192,83992949,Iran,43372270,26.0,35.5,16.8,1368407
아르헨티나,🇦🇷,5251940,23383.0,1200.0,114954,5113603.0,2.2,97.4,116204,45195774,Argentina,51153324,56.9,65.6,47.7,260261
콜롬비아,🇨🇴,4952690,33125.0,542.0,126178,4793387.0,2.5,96.8,97335,50882891,Colombia,39610550,39.3,50.9,32.6,166927
스페인,🇪🇸,4951640,129320.0,837.0,86298,4736022.0,1.7,95.6,105956,46754778,Spain,69867532,75.1,80.9,78.4,76386
이탈리아,🇮🇹,4662087,101080.0,488.0,130742,4430265.0,2.8,95.0,77157,60461826,Italy,84158581,69.7,74.3,74.4,222470
독일,🇩🇪,4212201,139952.0,1435.0,94049,3978200.0,2.2,94.4,50275,83783942,Germany,107030469,64.4,67.8,64.1,194734
인도네시아,🇮🇩,4211460,38652.0,3116.5,141709,4031099.0,3.4,95.7,15397,273523615,Indonesia,136941018,25.7,32.2,18.1,1755924
멕시코,🇲🇽,3635807,368408.0,4798.0,275676,2991723.0,7.6,82.3,28199,128932753,Mexico,99366403,38.9,49.7,34.9,532540
폴란드,🇵🇱,2904631,166915.0,168.0,75601,2662115.0,2.6,91.7,76747,37846611,Poland,37147012,48.9,52.0,51.0,27470
남아프리카 공화국,🇿🇦,2897521,47493.0,546.0,87216,2762812.0,3.0,95.4,48855,59308690,South Africa,16999722,16.2,20.7,14.3,119548
필리핀,🇵🇭,2522965,132139.0,3170.0,37686,2353140.0,1.5,93.3,23024,109581078,Philippines,43933886,20.5,23.5,18.9,359982
우크라이나,🇺🇦,2401956,98022.0,177.0,55863,2248071.0,2.3,93.6,54922,43733762,Ukraine,17699201,21.2,29.3,13.1,175972
말레이시아,🇲🇾,2209194,177560.0,978.0,25695,2005939.0,1.2,90.8,68257,32365999,Malaysia,42699197,65.5,70.1,60.3,290646
페루,🇵🇪,2173354,142508.66666666666,1025.0,199314,1971966.6666666667,9.2,92.3,65915,32971854,Peru,25683070,38.7,46.4,30.8,247857
네덜란드,🇳🇱,1999592,107457.33333333333,160.0,18162,1937994.3333333333,0.9,93.8,116697,17134872,Netherlands,23440062,68.0,70.3,63.6,19363
이라크,🇮🇶,1998615,72406.0,516.0,22187,1904022.0,1.1,95.3,49689,40222493,Iraq,7448300,9.5,11.7,7.3,110874
체코,🇨🇿,1690288,6234.0,36.0,30454,1653600.0,1.8,97.8,157838,10708981,Czech Republic,11779255,55.3,57.0,55.8,9196
칠레,🇨🇱,1652795,6762.0,389.0,37449,1608584.0,2.3,97.3,86460,19116201,Chile,31552753,82.6,78.5,73.8,109571
캐나다,🇨🇦,1612431,46453.0,638.0,27698,1538280.0,1.7,95.4,42722,37742154,Canada,55964812,74.6,76.2,70.6,109885
태국,🇹🇭,1581415,116711.0,3324.0,16498,1448206.0,1.0,91.6,22656,69799978,Thailand,46023016,33.1,42.4,22.8,567300
방글라데시,🇧🇩,1553873,12527.0,1408.0,27470,1513876.0,1.8,97.4,9435,164689383,Bangladesh,40976791,12.3,14.8,9.8,510835
이스라엘,🇮🇱,1270230,56889.0,641.0,7684,1205657.0,0.6,94.9,146753,8655535,Israel,14958007,82.6,67.3,62.1,28216
파키스탄,🇵🇰,1241825,49968.0,4015.0,27638,1164219.0,2.2,93.8,5622,220892340,Pakistan,76141484,18.6,27.5,12.5,686980
벨기에,🇧🇪,1238358,60435.0,206.0,25568,1152355.0,2.1,93.1,106851,11589623,Belgium,16623734,72.6,74.8,73.1,21138
