국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
리비아🇱🇾,336980,77479,N/A,4606,254895,1.4,75.6,49174,6871292
리투아니아🇱🇹,325606,21640,202,4913,299053,1.5,91.8,119992,2722289
오만🇴🇲,303639,3017,24,4095,296527,1.3,97.7,59466,5106626
대한민국🇰🇷,301170,30580,320,2450,268140,0.8,89.0,5921,51269185
이집트🇪🇬,300945,29736,90,17149,254060,5.7,84.4,2947,102334404
몽골🇲🇳,294775,8857,192,1206,284712,0.4,96.6,90525,3278290
슬로베니아🇸🇮,289669,13490,71,4537,271642,1.6,93.8,139473,2078938
몰도바🇲🇩,288377,9021,169,6679,272677,2.3,94.6,71648,4033963
바레인🇧🇭,274745,730,3,1389,272626,0.5,99.2,161506,1701575
아르메니아🇦🇲,258545,13554,N/A,5251,239740,2.0,92.7,87407,2963243
케냐🇰🇪,248392,3566,92,5096,239730,2.1,96.5,4621,53771296
카타르🇶🇦,236298,1434,18,605,234259,0.3,99.1,82049,2881053
보스니아 헤르체고비나🇧🇦,230801,28161,N/A,10422,192218,4.5,83.3,70349,3280819
잠비아🇿🇲,208857,466,28,3646,204745,1.7,98.0,11361,18383955
나이지리아🇳🇬,204201,9107,11,2673,192421,1.3,94.2,992,206139589
알제리🇩🇿,202574,58070,13,5767,138737,2.8,68.5,4623,43851044
북마케도니아🇲🇰,189551,12240,N/A,6577,170734,3.5,90.1,91144,2083374
노르웨이🇳🇴,186554,96752,19,850,88952,0.5,47.7,34482,5421241
키르기스스탄🇰🇬,178258,2810,131,2600,172848,1.5,97.0,27332,6524195
보츠와나🇧🇼,176427,2016,1,2360,172051,1.3,97.5,75023,2351627
우즈베키스탄🇺🇿,172090,4087,23,1222,166781,0.7,96.9,5154,33469203
알바니아🇦🇱,167354,11945,3,2629,152780,1.6,91.3,58341,2877797
아프가니스탄🇦🇫,155132,24295,1124,7198,123639,4.6,79.7,3985,38928346
라트비아🇱🇻,154786,7909,54,2684,144193,1.7,93.2,82216,1886198
에스토니아🇪🇪,153536,9811,20,1344,142381,0.9,92.7,116036,1326535
모잠비크🇲🇿,150494,2093,32,1909,146492,1.3,97.3,4816,31255435
