국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
레바논,🇱🇧,621735,24881,200,8277,588577,1.3,94.7,91164,6825445,Lebanon,2929966,21.4,23.5,19.3,28922
조지아,🇬🇪,606492,21177,,8817,576498,1.5,95.1,152201,3989167,Georgia,1715073,23,25.9,20.2,14862
과테말라,🇬🇹,548604,32907,5,13331,502366,2.4,91.6,30675,17915568,Guatemala,6511719,18.5,24.4,12.5,63061
사우디아라비아,🇸🇦,546926,2277,244,8699,535950,1.6,98,15710,34813871,Saudi Arabia,41488511,60.9,68.1,53.5,112640
벨라루스,🇧🇾,530203,12816,,4092,513295,0.8,96.8,56316,9449323,Belarus,3389520,17.9,19.8,16,26145
코스타리카,🇨🇷,521182,94789,459,6189,420204,1.2,80.6,102311,5094118,Costa Rica,5278407,52,64.5,39.5,58046
스리랑카,🇱🇰,512531,46233,,12609,453689,2.5,88.5,23986,21413249,Sri Lanka,25813491,59.2,65.1,52.3,160630
에콰도르,🇪🇨,507858,31258,759,32720,443880,6.4,87.4,28785,17643054,Ecuador,20571335,59.6,64.2,57,16381
볼리비아,🇧🇴,498790,23179,220,18698,456913,3.7,91.6,42739,11673021,Bolivia,6636967,28.7,36.4,26.7,36330
불가리아,🇧🇬,492365,42409,418,20449,429507,4.2,87.2,70931,6948445,Bulgaria,2507048,18,17.3,18.8,6440
아제르바이잔,🇦🇿,480843,22659,,6457,451727,1.3,93.9,47424,10139177,Azerbaijan,8227729,41.2,46.9,35.5,52103
파나마,🇵🇦,465993,3673,61,7201,455119,1.5,97.7,108042,4314767,Panama,5252959,62.3,69.1,55.6,171433
파라과이,🇵🇾,459804,1030,23,16142,442632,3.5,96.3,64469,7132538,Paraguay,4477723,31.3,36.6,26,9563
미얀마,🇲🇲,456620,29122,,17465,410033,3.8,89.8,8420,54409800,Myanmar,9001616,8.5,10.5,6.6,163440
쿠웨이트,🇰🇼,411447,664,13,2445,408338,0.6,99.2,96353,4270571,Kuwait,2380000,25.1,56.2,19.4,12990
슬로바키아,🇸🇰,408488,9798,100,12596,386094,3.1,94.5,74842,5459642,Slovakia,4751520,43.6,44.6,41.1,5921
크로아티아,🇭🇷,399891,8184,99,8595,383112,2.1,95.8,97462,4105267,Croatia,3404014,41.8,44.3,41.6,6200
우루과이,🇺🇾,388424,1441,14,6052,380931,1.6,98.1,111840,3473730,Uruguay,6161536,87.5,77.5,72.8,20562
아일랜드,🇮🇪,383218,42185,65,5209,335824,1.4,87.6,77905,4937786,Ireland,7177111,72.5,76,73.8,10160
온두라스,🇭🇳,363017,244399,451,9679,108939,2.7,30,36651,9904607,Honduras,5196072,26.6,32.8,20.4,46577
베네수엘라,🇻🇪,362040,12168,681,4395,345477,1.2,95.4,12776,28435940,Venezuela,14050000,25.3,31.6,18.9,246316
덴마크,🇩🇰,357037,4695,17,2642,349700,0.7,97.9,61698,5792202,Denmark,8804855,75.8,76.6,75,5116
도미니카 공화국,🇩🇴,356934,4842,174,4035,348057,1.1,97.5,32923,10847910,Dominican Republic,11782825,56.9,58.2,54.3,23177
에티오피아,🇪🇹,340845,27620,793,5369,307856,1.6,90.3,2972,114963588,Ethiopia,3493470,1.8,2.8,0.8,65503
리비아,🇱🇾,336980,77479,,4606,254895,1.4,75.6,49174,6871292,Libya,1501622,11.4,20.3,2.5,13928
리투아니아,🇱🇹,325606,21640,202,4913,299053,1.5,91.8,119992,2722289,Lithuania,3339375,60,61.8,58.2,15535
오만,🇴🇲,303639,3017,24,4095,296527,1.3,97.7,59466,5106626,Oman,4636486,55.3,67,43.5,74904
대한민국,🇰🇷,301170,30580,320,2450,268140,0.8,89,5921,51269185,South Korea,60747624,58.7,73,44.5,308173
이집트,🇪🇬,300945,29736,90,17149,254060,5.7,84.4,2947,102334404,Egypt,13808798,7,8.8,5.1,256045
몽골,🇲🇳,294775,8857,192,1206,284712,0.4,96.6,90525,3278290,Mongolia,4545348,68.9,68.2,64.5,16573
슬로베니아,🇸🇮,289669,13490,71,4537,271642,1.6,93.8,139473,2078938,Slovenia,2102314,51.9,53.9,47.8,7861
몰도바,🇲🇩,288377,9021,169,6679,272677,2.3,94.6,71648,4033963,Moldova,1381402,25.8,22.8,28.7,3870
바레인,🇧🇭,274745,730,3,1389,272626,0.5,99.2,161506,1701575,Bahrain,2549298,85.9,78.4,74.8,2029
아르메니아,🇦🇲,258545,13554,,5251,239740,2,92.7,87407,2963243,Armenia,366779,6.2,8,4.4,4437
케냐,🇰🇪,248392,3566,92,5096,239730,2.1,96.5,4621,53771296,Kenya,3600187,3.8,5.6,1.9,37468
카타르,🇶🇦,236298,1434,18,605,234259,0.3,99.1,82049,2881053,Qatar,4690049,83.9,84.4,79.4,5290
보스니아 헤르체고비나,🇧🇦,230801,28161,,10422,192218,4.5,83.3,70349,3280819,Bosnia and Herzegovina,1060145,16.1,19.2,12.9,7334
잠비아,🇿🇲,208857,466,28,3646,204745,1.7,98,11361,18383955,Zambia,697261,1.9,1.8,1.6,16351
나이지리아,🇳🇬,204201,9107,11,2673,192421,1.3,94.2,992,206139589,Nigeria,6255025,1.6,2.2,0.9,47510
알제리,🇩🇿,202574,58070,13,5767,138737,2.8,68.5,4623,43851044,Algeria,9989662,11.5,13.4,9.6,284237
북마케도니아,🇲🇰,189551,12240,,6577,170734,3.5,90.1,91144,2083374,North Macedonia,1482287,35.6,37.4,33.9,7065
노르웨이,🇳🇴,186554,96752,19,850,88952,0.5,47.7,34482,5421241,Norway,7728245,72.1,77,67.3,23747
키르기스스탄,🇰🇬,178258,2810,131,2600,172848,1.5,97,27332,6524195,Kyrgyzstan,1398986,10.9,12.6,9.3,10258
보츠와나,🇧🇼,176427,2016,1,2360,172051,1.3,97.5,75023,2351627,Botswana,606699,12.8,17.2,9.5,2729
우즈베키스탄,🇺🇿,172090,4087,23,1222,166781,0.7,96.9,5154,33469203,Uzbekistan,18526941,27.9,29.4,11.1,155946
알바니아,🇦🇱,167354,11945,3,2629,152780,1.6,91.3,58341,2877797,Albania,1683644,29.3,32.4,26.3,7797
아프가니스탄,🇦🇫,155132,24295,1124,7198,123639,4.6,79.7,3985,38928346,Afghanistan,3133227,4.2,2.6,1.2,552467
라트비아,🇱🇻,154786,7909,54,2684,144193,1.7,93.2,82216,1886198,Latvia,1596487,41.6,46.6,42.5,2729
