국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
미국🇺🇸,43754953,9862346,22094,706338,33186269,1.6,75.8,132517,331002651
인도🇮🇳,33693148,297170,8944,447362,32948616,1.3,97.8,24415,1380004385
브라질🇧🇷,21351972,417115,8318,594484,20340373,2.8,95.3,100520,212559417
영국🇬🇧,7664230,1342492,916,136168,6185570,1.8,80.7,113451,67886011
러시아🇷🇺,7443149,620353,2300,204679,6618117,2.7,88.9,51003,145934462
터키🇹🇷,7039500,479059,633,63166,6497275,0.9,92.3,83789,84339067
프랑스🇫🇷,6994319,154825,1609,116463,6723031,1.7,96.1,107174,65273511
이란🇮🇷,5547990,462243,6209,119649,4966098,2.2,89.5,66053,83992949
아르헨티나🇦🇷,5250402,23944,1237,114862,5111596,2.2,97.4,116204,45195774
콜롬비아🇨🇴,4951675,33815,542,126145,4791715,2.5,96.8,97335,50882891
스페인🇪🇸,4946601,152205,837,86229,4708167,1.7,95.2,105907,46754778
이탈리아🇮🇹,4660314,102244,483,130697,4427373,2.8,95.0,77108,60461826
인도네시아🇮🇩,4209403,40270,N/A,141585,4027548,3.4,95.7,15390,273523615
독일🇩🇪,4207260,146577,1435,93983,3966700,2.2,94.3,50261,83783942
멕시코🇲🇽,3632800,372893,4798,275446,2984461,7.6,82.2,28176,128932753
폴란드🇵🇱,2903655,166075,153,75572,2662008,2.6,91.7,76722,37846611
남아프리카 공화국🇿🇦,2896943,49798,546,87052,2760093,3.0,95.3,48855,59308690
필리핀🇵🇭,2490858,161447,3170,37405,2292006,1.5,92.0,22731,109581078
우크라이나🇺🇦,2395404,94540,177,55720,2245144,2.3,93.7,54772,43733762
말레이시아🇲🇾,2198235,183289,1050,25437,1989509,1.2,90.5,68257,32365999
페루🇵🇪,2173034,N/A,1023,199292,N/A,9.2,N/A,65906,32971854
네덜란드🇳🇱,1997885,N/A,177,18154,N/A,0.9,N/A,116598,17134872
이라크🇮🇶,1996214,73845,521,22142,1900227,1.1,95.2,49629,40222493
일본🇯🇵*,1696622,39811,1110,17527,1639284,1.0,96.6,13415,126476461
체코🇨🇿,1689620,5997,30,30454,1653169,1.8,97.8,157776,10708981
칠레🇨🇱,1652364,7423,380,37445,1607496,2.3,97.3,86438,19116201
캐나다🇨🇦,1602379,46479,638,27649,1528251,1.7,95.4,42511,37742154
태국🇹🇭,1571926,120156,3324,16369,1435401,1.0,91.3,22520,69799978
방글라데시🇧🇩,1552563,12443,1413,27439,1512681,1.8,97.4,9427,164689383
