국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
미국🇺🇸,44055692,9823512,21296,711222,33520958,1.6,76.1,133437,331002651
인도🇮🇳,33718984,284976,8944,447828,32986180,1.3,97.8,24448,1380004385
브라질🇧🇷,21381790,403027,8318,595520,20383243,2.8,95.3,100676,212559417
영국🇬🇧,7736235,1344510,831,136375,6255350,1.8,80.9,114476,67886011
러시아🇷🇺,7487138,626809,2300,206388,6653941,2.8,88.9,51305,145934462
터키🇹🇷,7095580,479198,633,63611,6552771,0.9,92.4,84480,84339067
프랑스🇫🇷,7002393,135537,1609,116615,6750241,1.7,96.4,107367,65273511
이란🇮🇷,5572962,443129,6016,120160,5009673,2.2,89.9,66350,83992949
아르헨티나🇦🇷,5253765,23643,1184,115038,5115084,2.2,97.4,116278,45195774
콜롬비아🇨🇴,4954376,32182,542,126219,4795975,2.5,96.8,97397,50882891
스페인🇪🇸,4953930,122061,771,86358,4745511,1.7,95.8,106015,46754778
이탈리아🇮🇹,4665049,98872,459,130807,4435370,2.8,95.1,77210,60461826
독일🇩🇪,4221331,137491,1435,94140,3989700,2.2,94.5,50495,83783942
인도네시아🇮🇩,4213414,37412,N/A,141826,4034176,3.4,95.7,15404,273523615
멕시코🇲🇽,3645599,370163,4798,276376,2999060,7.6,82.3,28275,128932753
폴란드🇵🇱,2905866,168111,174,75623,2662132,2.6,91.6,76780,37846611
남아프리카 공화국🇿🇦,2898888,45771,546,87417,2765700,3.0,95.4,48913,59308690
필리핀🇵🇭,2535732,132339,3170,38164,2365229,1.5,93.3,23140,109581078
우크라이나🇺🇦,2411622,104190,177,56080,2251352,2.3,93.4,55143,43733762
말레이시아🇲🇾,2220526,174492,985,25935,2020099,1.2,91.0,68991,32365999
페루🇵🇪,2174219,N/A,1021,199329,N/A,9.2,N/A,65942,32971854
네덜란드🇳🇱,2001347,N/A,155,18168,N/A,0.9,N/A,116800,17134872
이라크🇮🇶,2000869,71237,497,22221,1907411,1.1,95.3,49745,40222493
일본🇯🇵*,1700326,34636,1002,17625,1648065,1.0,96.9,13444,126476461
체코🇨🇿,1690758,6284,38,30455,1654019,1.8,97.8,157882,10708981
칠레🇨🇱,1653406,6944,386,37455,1609007,2.3,97.3,86492,19116201
캐나다🇨🇦,1615859,44777,776,27754,1543328,1.7,95.5,42926,37742154
태국🇹🇭,1591829,115423,3324,16620,1459786,1.0,91.7,22806,69799978
방글라데시🇧🇩,1555051,12602,1408,27487,1514962,1.8,97.4,9442,164689383
이스라엘🇮🇱,1275405,54167,659,7692,1213546,0.6,95.1,147567,8655535
파키스탄🇵🇰,1243385,48506,3948,27690,1167189,2.2,93.9,5629,220892340
벨기에🇧🇪,1240232,62296,206,25581,1152355,2.1,92.9,107012,11589623
루마니아🇷🇴,1221636,74229,1320,36865,1110542,3.0,90.9,63502,19237691
스웨덴🇸🇪,1152027,N/A,37,14814,N/A,1.3,N/A,114070,10099265
포르투갈🇵🇹,1068530,30495,68,17968,1020067,1.7,95.5,104792,10196709
세르비아🇷🇸,934440,127947,243,8187,798306,0.9,85.4,106948,8737371
모로코🇲🇦,930891,13888,498,14225,902778,1.5,97.0,25249,36910560
카자흐스탄🇰🇿,882634,52971,221,11142,818521,1.3,92.7,47007,18776707
쿠바🇨🇺,872425,31043,421,7378,834004,0.8,95.6,77024,11326616
스위스🇨🇭,839218,62199,186,11087,765932,1.3,91.3,96968,8654622
헝가리🇭🇺,822072,7348,81,30185,784539,3.7,95.4,85098,9660351
요르단🇯🇴,821840,12397,480,10703,798740,1.3,97.2,80651,10203134
네팔🇳🇵,794163,18193,N/A,11123,764847,1.4,96.3,27256,29136808
베트남🇻🇳,779398,176791,N/A,19098,583509,2.5,74.9,8007,97338579
오스트리아🇦🇹,741046,19979,226,10998,710069,1.5,95.8,82280,9006398
아랍에미레이트🇦🇪,735727,5437,N/A,2095,728195,0.3,99.0,74388,9890402
튀니지🇹🇳,706314,7482,295,24842,673990,3.5,95.4,59763,11818619
그리스🇬🇷,651378,28545,322,14751,608082,2.3,93.4,62701,10423054
레바논🇱🇧,622983,22532,200,8306,592145,1.3,95.0,91365,6825445
조지아🇬🇪,611269,19547,N/A,8917,582805,1.5,95.3,153232,3989167
과테말라🇬🇹,553289,28158,5,13453,511678,2.4,92.5,31104,17915568
사우디아라비아🇸🇦,547090,2252,224,8713,536125,1.6,98.0,15715,34813871
벨라루스🇧🇾,536097,14658,N/A,4114,517325,0.8,96.5,56734,9449323
코스타리카🇨🇷,528077,95376,449,6316,426385,1.2,80.7,104064,5094118
스리랑카🇱🇰,515524,46651,N/A,12786,456087,2.5,88.5,24119,21413249
에콰도르🇪🇨,508655,32028,759,32747,443880,6.4,87.3,28863,17643054
볼리비아🇧🇴,499648,22033,220,18716,458899,3.7,91.8,42804,11673021
불가리아🇧🇬,497970,42771,449,20725,434474,4.2,87.2,71975,6948445
아제르바이잔🇦🇿,481401,21957,N/A,6476,452968,1.3,94.1,47650,10139177
파나마🇵🇦,466589,3420,61,7219,455950,1.5,97.7,108138,4314767
미얀마🇲🇲,461066,28059,N/A,17631,415376,3.8,90.1,8502,54409800
파라과이🇵🇾,459899,751,21,16193,442955,3.5,96.3,64486,7132538
쿠웨이트🇰🇼,411572,665,10,2448,408459,0.6,99.2,96382,4270571
슬로바키아🇸🇰,411080,11088,119,12620,387372,3.1,94.2,75294,5459642
크로아티아🇭🇷,403080,8101,99,8628,386351,2.1,95.8,98186,4105267
팔레스타인🇵🇸,402255,26356,75,4080,371819,1.0,92.4,78852,5101414
