국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
우루과이🇺🇾,388700,1332,13,6053,381315,1.6,98.1,111932,3473730
아일랜드🇮🇪,387218,40804,63,5209,341205,1.3,88.1,78712,4937786
베네수엘라🇻🇪,366150,12812,681,4443,348895,1.2,95.3,12876,28435940
온두라스🇭🇳,365259,245522,418,9755,109982,2.7,30.1,36878,9904607
덴마크🇩🇰,358369,4939,16,2654,350776,0.7,97.9,61871,5792202
도미니카 공화국🇩🇴,357982,5076,156,4041,348865,1.1,97.5,33044,10847910
에티오피아🇪🇹,343104,27377,780,5488,310239,1.6,90.4,2995,114963588
리비아🇱🇾,339269,76059,N/A,4636,258574,1.4,76.2,49375,6871292
리투아니아🇱🇹,329869,22798,214,4965,302106,1.5,91.6,121173,2722289
대한민국🇰🇷,308725,33527,331,2474,272724,0.8,88.3,6022,51269185
오만🇴🇲,303738,2096,20,4096,297546,1.3,98.0,59479,5106626
이집트🇪🇬,303045,30124,90,17263,255658,5.7,84.4,2961,102334404
몽골🇲🇳,301434,8848,192,1258,291328,0.4,96.6,91949,3278290
슬로베니아🇸🇮,292333,13112,74,4556,274665,1.6,94.0,140617,2078938
몰도바🇲🇩,291252,9405,174,6732,275115,2.3,94.5,72593,4033963
바레인🇧🇭,274925,733,5,1389,272803,0.5,99.2,161604,1701575
아르메니아🇦🇲,260675,14185,N/A,5299,241191,2.0,92.5,87969,2963243
케냐🇰🇪,248770,2474,92,5116,241180,2.1,96.9,4634,53771296
카타르🇶🇦,236558,1282,15,605,234671,0.3,99.2,82108,2881053
보스니아 헤르체고비나🇧🇦,233775,30983,N/A,10574,192218,4.5,82.2,71255,3280819
잠비아🇿🇲,208912,418,25,3647,204847,1.7,98.1,11364,18383955
나이지리아🇳🇬,205047,9092,11,2695,193260,1.3,94.3,997,206139589
알제리🇩🇿,203045,58171,14,5797,139077,2.9,68.5,4634,43851044
북마케도니아🇲🇰,190463,11962,N/A,6630,171871,3.5,90.2,91637,2083374
노르웨이🇳🇴,188295,98482,23,861,88952,0.5,47.2,34835,5421241
키르기스스탄🇰🇬,178444,2737,131,2605,173102,1.5,97.0,27351,6524195
보츠와나🇧🇼,178050,2679,1,2367,173004,1.3,97.2,75714,2351627
우즈베키스탄🇺🇿,173409,3816,23,1234,168359,0.7,97.1,5181,33469203
알바니아🇦🇱,168782,10436,3,2668,155678,1.6,92.2,58886,2877797
라트비아🇱🇻,157083,9210,61,2706,145167,1.7,92.4,83280,1886198
에스토니아🇪🇪,155469,10801,18,1352,143316,0.9,92.2,117199,1326535
아프가니스탄🇦🇫,155174,23339,1124,7204,124631,4.6,80.3,3986,38928346
모잠비크🇲🇿,150572,1817,32,1912,146843,1.3,97.5,4817,31255435
핀란드🇫🇮,140889,93827,25,1062,46000,0.8,32.6,25428,5540720
몬테네그로🇲🇪,130500,7223,N/A,1914,121363,1.5,93.0,208609,628066
짐바브웨🇿🇼,130272,3036,12,4615,122621,3.5,94.1,8765,14862924
나미비아🇳🇦,127493,1211,18,3494,122788,2.7,96.3,50176,2540905
가나🇬🇭,127016,3410,42,1150,122456,0.9,96.4,4088,31072940
우간다🇺🇬,123445,24210,268,3152,96083,2.6,77.8,2699,45741007
키프로스🇨🇾,118298,26990,33,553,90755,0.5,76.7,97981,1207359
캄보디아🇰🇭,111673,7149,N/A,2302,102222,2.1,91.5,6679,16718965
코소보🇽🇰,107507,-85,N/A,2269,105323,2.1,98.0,59381,1810463
엘살바도르🇸🇻,104348,14275,127,3222,86851,3.1,83.2,16088,6486205
호주🇦🇺,102729,26670,301,1278,74781,1.2,72.8,4029,25499884
르완다🇷🇼,97190,50462,11,1259,45469,1.3,46.8,7517,12952218
중국🇨🇳,96106,949,N/A,4636,90521,4.8,94.2,67,1439323776
싱가포르🇸🇬,91775,15469,30,85,76221,0.1,83.1,16075,5850342
카메룬🇨🇲,85414,3613,152,1368,80433,1.6,94.2,3477,26545863
몰디브🇲🇻,84579,1579,23,231,82769,0.3,97.9,156731,540544
자메이카🇯🇲,83342,28952,42,1859,52531,2.2,63.0,28194,2961167
룩셈부르크🇱🇺,77998,1131,8,835,76032,1.1,97.5,124813,625978
세네갈🇸🇳,73764,154,7,1858,71752,2.5,97.3,4405,16743927
말라위🇲🇼,61528,4526,67,2279,54723,3.7,88.9,3218,19129952
코트디부아르🇨🇮,60020,1692,N/A,611,57717,1.0,96.2,2275,26378274
콩고민주공화국🇨🇩,56862,24920,N/A,1084,30858,1.9,54.3,635,89561403
앙골라🇦🇴,56040,7093,8,1526,47421,2.7,84.6,1705,32866272
레위니옹🇷🇪,53682,653,33,366,52663,0.7,98.1,59959,895312
과들루프🇬🇵,53140,50200,23,690,2250,1.3,4.2,132809,400124
피지🇫🇯,50872,13527,10,621,36724,1.2,72.2,56839,896445
트리니다드 토바고🇹🇹,50229,4188,22,1466,44575,2.9,88.7,35891,1399488
에스와티니🇸🇿,45870,629,10,1216,44025,2.7,96.0,39538,1160164
마다가스카르🇲🇬,42898,618,3,958,41322,2.2,96.3,1549,27691018
수리남🇸🇷,40989,13225,17,870,26894,2.1,65.6,69872,586632
프랑스령 기아나🇬🇫,40569,30312,32,262,9995,0.6,24.6,135827,298682
마르티니크🇲🇶,40545,39859,1,582,104,1.4,0.3,108044,375265
프랑스령 폴리네시아🇵🇫,40178,6061,24,617,33500,1.5,83.4,143029,280908
수단🇸🇩,38245,3291,N/A,2900,32054,7.6,83.8,872,43849260
카보베르데🇨🇻,37501,605,23,336,36560,0.9,97.5,67449,555987
몰타 공화국🇲🇹,37127,729,2,457,35941,1.2,96.8,84085,441543
모리타니🇲🇷,35942,685,22,773,34484,2.2,95.9,7730,4649658
시리아🇸🇾,33640,7744,N/A,2227,23669,6.6,70.4,1939,17500658
가이아나🇬🇾,31359,3942,31,778,26639,2.5,84.9,39869,786552
기니🇬🇳,30382,1206,24,378,28798,1.2,94.8,2314,13132795
가봉🇬🇦,29515,2691,26,183,26641,0.6,90.3,13261,2225734
토고🇹🇬,25323,2355,N/A,227,22741,0.9,89.8,3059,8278724
라오스🇱🇦,23488,17903,N/A,17,5568,0.1,23.7,3228,7275560
베냉🇧🇯,22958,5510,5,154,17294,0.7,75.3,1971,12123200
아이티🇭🇹,21647,1574,N/A,610,19463,2.8,89.9,1898,11402528
세이셸🇸🇨,21347,329,N/A,115,20903,0.5,97.9,217058,98347
바하마🇧🇸,20842,1998,15,523,18321,2.5,87.9,53361,393244
벨리즈🇧🇿,20295,2129,10,408,17758,2.0,87.5,51040,397628
마요트🇾🇹,20257,17115,N/A,178,2964,0.9,14.6,74314,272815
소말리아🇸🇴,19980,9346,N/A,1111,9523,5.6,47.7,1257,15893222
파푸아뉴기니🇵🇬,19903,1243,7,229,18431,1.2,92.6,2225,8947024
동티모르🇹🇱,19455,778,N/A,115,18562,0.6,95.4,14756,1318445
부룬디🇧🇮,17505,16694,N/A,38,773,0.2,4.4,1472,11890784
타지키스탄🇹🇯,17084,0,N/A,124,16960,0.7,99.3,1791,9537645
퀴라소🇨🇼,16428,430,4,162,15836,1.0,96.4,100114,164093
대만🇹🇼,16216,1632,N/A,842,13742,5.2,84.7,681,23816775
아루바🇦🇼,15448,241,7,166,15041,1.1,97.4,144690,106766
모리셔스🇲🇺,15391,13458,N/A,79,1854,0.5,12.0,12272,1271768
안도라🇦🇩,15192,76,4,130,14986,0.9,98.6,196842,77265
말리🇲🇱,15183,350,N/A,548,14285,3.6,94.1,750,20250833
니카라과🇳🇮,14448,10019,N/A,204,4225,1.4,29.2,2181,6624554
레소토🇱🇸,14395,7162,N/A,403,6830,2.8,47.4,6720,2142249
콩고공화국🇨🇬,14244,1630,N/A,193,12421,1.4,87.2,2581,5518087
부르키나파소🇧🇫,14213,161,N/A,183,13869,1.3,97.6,680,20903273
지부티🇩🇯,12636,424,N/A,167,12045,1.3,95.3,12859,988000
홍콩🇭🇰,12214,100,N/A,213,11901,1.7,97.4,1629,7496981
남수단🇸🇸,11981,283,4,128,11570,1.1,96.6,1070,11193725
적도 기니🇬🇶,11806,1439,1,142,10225,1.2,86.6,8706,1402985
아이슬란드🇮🇸,11760,355,3,33,11372,0.3,96.7,34524,341243
중앙아프리카 공화국🇨🇫,11371,4412,2,100,6859,0.9,60.3,2354,4829767
세인트루시아🇱🇨,11320,1500,15,195,9625,1.7,85.0,61647,183627
감비아🇬🇲,9930,24,3,335,9571,3.4,96.4,4111,2416668
예멘🇾🇪,9039,1707,23,1715,5617,19.0,62.1,303,29825964
바베이도스🇧🇧,7981,1093,N/A,69,6819,0.9,85.4,27772,287375
맨섬🇮🇲,7510,363,1,51,7096,0.7,94.5,88718,85033
뉴칼레도니아🇳🇨,7176,7004,53,114,58,1.6,0.8,25135,285498
브루나이🇧🇳,6950,2188,36,40,4722,0.6,67.9,15886,437479
에리트레아🇪🇷,6697,26,N/A,42,6629,0.6,99.0,1892,3546421
시에라리온🇸🇱,6393,1891,N/A,121,4381,1.9,68.5,801,7976983
기니비사우🇬🇼,6103,673,4,135,5295,2.2,86.8,3101,1968001
니제르🇳🇪,5996,45,N/A,201,5750,3.4,95.9,248,24206644
라이베리아🇱🇷,5794,53,2,283,5458,4.9,94.2,1146,5057681
지브롤터🇬🇮,5532,62,2,97,5373,1.8,97.1,164465,33691
산마리노🇸🇲,5428,27,2,91,5310,1.7,97.8,159972,33931
버뮤다🇧🇲,5145,1470,1,62,3613,1.2,70.2,82613,62278
그레나다🇬🇩,5039,1543,N/A,135,3361,2.7,66.7,44782,112523
차드🇹🇩,5036,8,N/A,174,4854,3.5,96.4,307,16425864
신트마르턴🇸🇽,4263,175,10,66,4022,1.5,94.3,99426,42876
뉴질랜드🇳🇿,4248,256,5,27,3965,0.6,93.3,881,4822233
코모로🇰🇲,4137,29,N/A,147,3961,3.6,95.7,4757,869601
세인트마틴 섬🇲🇫,3727,2273,7,55,1399,1.5,37.5,96390,38666
리히텐슈타인🇱🇮,3447,24,2,60,3363,1.7,97.6,90406,38128
상투메 프린시페🇸🇹,3408,652,N/A,50,2706,1.5,79.4,15756,219159
세인트빈센트 그레나딘🇻🇨,3369,943,2,19,2407,0.6,71.4,30855,110940
모나코🇲🇨,3312,29,2,33,3250,1.0,98.1,84425,39242
도미니카 연방🇩🇲,3293,598,N/A,15,2680,0.5,81.4,45745,71986
앤티가 바부다🇦🇬,3160,961,9,76,2123,2.4,67.2,32554,97929
터크스 케이커스 제도🇹🇨,2836,55,1,23,2758,0.8,97.2,73249,38717
영국령 버진아일랜드🇻🇬,2642,50,7,37,2555,1.4,96.7,87394,30231
부탄🇧🇹,2601,5,N/A,3,2593,0.1,99.7,3371,771608
카리브 네덜란드🇧🇶,2068,131,N/A,19,1918,0.9,92.7,79434,26223
세인트키츠 네비스🇰🇳,1891,899,1,12,980,0.6,51.8,35546,53199
생바르텔레미🇧🇱,1565,1100,N/A,3,462,0.2,29.5,158449,9877
탄자니아🇹🇿,1367,1134,7,50,183,3.7,13.4,23,59734218
페로 제도🇫🇴,1140,79,N/A,2,1059,0.2,92.9,23760,48863
케이맨 제도🇰🇾,820,56,N/A,2,762,0.2,92.9,12477,65722
그린란드🇬🇱,571,130,2,0,441,-,77.2,10093,56770
왈리스 퓌티나🇼🇫,445,0,N/A,7,438,1.6,98.4,-,-
앵귈라🇦🇮,389,26,N/A,1,362,0.3,93.1,25928,15003
마카오🇲🇴,71,8,N/A,0,63,-,88.7,109,649335
포클랜드 제도🇫🇰,67,4,N/A,0,63,-,94.0,19253,3480
몬트세랫🇲🇸,33,2,N/A,1,30,3.0,90.9,6611,4992
생피에르 미클롱🇵🇲,31,0,N/A,0,31,-,100,5350,5794
바티칸 시국🇻🇦,27,0,N/A,0,27,-,100,33708,801
솔로몬 제도🇸🇧,20,0,N/A,0,20,-,100,29,686884
서사하라🇪🇭,10,1,N/A,1,8,10,80,17,597339
잔담🚢,9,0,N/A,2,7,22.2,77.8,-,-
팔라우🇵🇼,5,0,N/A,0,5,-,100,276,18094
마셜 제도🇲🇭,4,0,N/A,0,4,-,100,68,59190
바누아투🇻🇺,4,0,N/A,1,3,25,75,13,307145
사모아🇼🇸,3,0,N/A,0,3,-,100,15,198414
세인트헬레나🇸🇭,2,0,N/A,0,2,-,100,329,6077
미크로네시아🇫🇲,1,0,N/A,0,1,-,100,9,115023
