국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
미국,🇺🇸,43754953,9862346.0,22094.0,706338,33186269.0,1.6,75.8,132517,331002651,U.S.,390114328,60.9,64.3,55.3,703352
인도,🇮🇳,33693148,297170.0,8944.0,447362,32948616.0,1.3,97.8,24415,1380004385,India,860066590,31.4,46.0,16.3,7379929
브라질,🇧🇷,21351972,417115.0,8318.0,594484,20340373.0,2.8,95.3,100520,212559417,Brazil,231844536,56.2,70.9,41.0,1360269
영국,🇬🇧,7664230,1342492.0,916.0,136168,6185570.0,1.8,80.7,113451,67886011,U.K.,93461887,70.0,72.9,67.0,69770
러시아,🇷🇺,7443149,620353.0,2300.0,204679,6618117.0,2.7,88.9,51003,145934462,Russia,89453699,30.5,32.4,28.4,234726
터키,🇹🇷,7039500,479059.0,633.0,63166,6497275.0,0.9,92.3,83789,84339067,Turkey,107877200,64.9,64.3,52.4,394652
프랑스,🇫🇷,6994319,154825.0,1609.0,116463,6723031.0,1.7,96.1,107174,65273511,France,93817818,72.4,77.2,74.0,321862
이란,🇮🇷,5547990,462243.0,6209.0,119649,4966098.0,2.2,89.5,66053,83992949,Iran,43372270,26.0,35.5,16.8,1368407
아르헨티나,🇦🇷,5250402,23944.0,1237.0,114862,5111596.0,2.2,97.4,116204,45195774,Argentina,50864376,56.6,65.5,47.5,263830
콜롬비아,🇨🇴,4951675,33815.0,542.0,126145,4791715.0,2.5,96.8,97335,50882891,Colombia,39455509,39.2,50.9,32.6,160552
스페인,🇪🇸,4946601,152205.0,837.0,86229,4708167.0,1.7,95.2,105907,46754778,Spain,69740837,75.0,80.8,78.2,97800
이탈리아,🇮🇹,4660314,102244.0,483.0,130697,4427373.0,2.8,95.0,77108,60461826,Italy,83966629,69.6,74.3,74.3,226956
인도네시아,🇮🇩,4209403,40270.0,959.0,141585,4027548.0,3.4,95.7,15390,273523615,Indonesia,135418535,25.4,32.0,18.0,1709109
독일,🇩🇪,4207260,146577.0,1435.0,93983,3966700.0,2.2,94.3,50261,83783942,Germany,106863393,64.3,67.7,63.9,223714
멕시코,🇲🇽,3632800,372893.0,4798.0,275446,2984461.0,7.6,82.2,28176,128932753,Mexico,98895325,38.8,49.6,34.7,517704
폴란드,🇵🇱,2903655,166075.0,153.0,75572,2662008.0,2.6,91.7,76722,37846611,Poland,37147012,48.9,52.0,51.0,28554
남아프리카 공화국,🇿🇦,2896943,49798.0,546.0,87052,2760093.0,3.0,95.3,48855,59308690,South Africa,16827790,16.1,20.6,14.2,119345
필리핀,🇵🇭,2490858,161447.0,3170.0,37405,2292006.0,1.5,92.0,22731,109581078,Philippines,43088582,20.1,23.5,18.3,404482
우크라이나,🇺🇦,2395404,94540.0,177.0,55720,2245144.0,2.3,93.7,54772,43733762,Ukraine,17699276,21.2,29.3,13.1,162933
말레이시아,🇲🇾,2198235,183289.0,1050.0,25437,1989509.0,1.2,90.5,68257,32365999,Malaysia,42375862,65.0,69.7,59.8,285829
페루,🇵🇪,2173034,146807.66666666666,1023.0,199292,1959748.3333333333,9.2,92.06666666666666,65906,32971854,Peru,25425116,38.3,46.1,30.5,267381
네덜란드,🇳🇱,1997885,110326.33333333333,177.0,18154,1929987.6666666667,0.9,93.63333333333334,116598,17134872,Netherlands,23440062,68.0,70.3,63.6,18797
이라크,🇮🇶,1996214,73845.0,521.0,22142,1900227.0,1.1,95.2,49629,40222493,Iraq,7448300,9.5,11.7,7.3,110874
체코,🇨🇿,1689620,5997.0,30.0,30454,1653169.0,1.8,97.8,157776,10708981,Czech Republic,11776936,55.3,57.0,55.7,9198
칠레,🇨🇱,1652364,7423.0,380.0,37445,1607496.0,2.3,97.3,86438,19116201,Chile,31502173,82.4,78.4,73.8,102355
캐나다,🇨🇦,1602379,46479.0,638.0,27649,1528251.0,1.7,95.4,42511,37742154,Canada,55811509,74.4,76.2,70.6,107307
태국,🇹🇭,1571926,120156.0,3324.0,16369,1435401.0,1.0,91.3,22520,69799978,Thailand,46023016,33.1,42.4,22.8,494116
방글라데시,🇧🇩,1552563,12443.0,1413.0,27439,1512681.0,1.8,97.4,9427,164689383,Bangladesh,40317634,12.1,14.5,9.7,497835
이스라엘,🇮🇱,1270230,56889.0,641.0,7684,1205657.0,0.6,94.9,146753,8655535,Israel,14929278,82.5,67.3,62.1,28170
파키스탄,🇵🇰,1240425,50651.0,4033.0,27597,1162177.0,2.2,93.7,5616,220892340,Pakistan,76141484,18.6,27.5,12.5,662015
벨기에,🇧🇪,1233723,63499.0,216.0,25554,1144670.0,2.1,92.8,106451,11589623,Belgium,16572780,72.3,74.7,72.9,22579
루마니아,🇷🇴,1199761,64516.0,1218.0,36450,1098795.0,3.0,91.6,62365,19237691,Romania,10043006,25.9,27.9,27.4,19873
스웨덴,🇸🇪,1149407,47900.5,42.0,14781,1058365.0,1.3,93.5,113811,10099265,Sweden,13607052,65.9,69.0,62.8,33542
포르투갈,🇵🇹,1067175,31285.0,79.0,17955,1017935.0,1.7,95.4,104659,10196709,Portugal,15904393,77.4,86.8,83.7,36028
모로코,🇲🇦,929305,16166.0,598.0,14167,898972.0,1.5,96.7,25188,36910560,Morocco,39523919,55.5,60.6,50.4,353606
세르비아,🇷🇸,917802,123228.0,225.0,8097,786477.0,0.9,85.7,105043,8737371,Serbia,6392974,45.9,43.4,41.4,19796
카자흐스탄,🇰🇿,878990,55042.0,221.0,11065,812883.0,1.3,92.5,46813,18776707,Kazakhstan,13901899,37.3,40.2,34.2,62955
쿠바,🇨🇺,860799,33898.0,386.0,7279,819622.0,0.8,95.2,75998,11326616,Cuba,19991460,88.2,78.4,42.9,317884
스위스,🇨🇭,836479,65685.0,209.0,11053,759741.0,1.3,90.8,96651,8654622,Switzerland,10266591,60.1,63.7,54.9,33443
헝가리,🇭🇺,821261,7923.0,71.0,30171,783167.0,3.7,95.4,85014,9660351,Hungary,11167215,57.1,60.1,57.5,5617
요르단,🇯🇴,819783,12399.0,476.0,10680,796704.0,1.3,97.2,80446,10203134,Jordan,6920178,34.4,36.4,32.1,16439
네팔,🇳🇵,792367,18848.0,395.3333333333333,11103,762416.0,1.4,96.2,27195,29136808,Nepal,12645634,22.2,22.9,21.1,123351
베트남,🇻🇳,766051,208839.0,314.66666666666663,18758,538454.0,2.4,70.3,7870,97338579,Vietnam,37583248,19.5,31.1,7.8,575413
오스트리아,🇦🇹,737202,21124.0,234.0,10976,705102.0,1.5,95.6,81853,9006398,Austria,10790751,60.9,64.4,60.8,10421
아랍에미레이트,🇦🇪,735180,5570.0,275.0,2094,727516.0,0.3,99.0,74333,9890402,UAE,19856161,92.4,85.8,76.0,58613
