국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
튀니지,🇹🇳,705295,7463.0,316.0,24788,673044.0,3.5,95.4,59692,11818619,Tunisia,7384667,31.3,40.4,28.8,47554
그리스,🇬🇷,645969,25590.0,337.0,14679,605700.0,2.3,93.8,62179,10423054,Greece,12041797,56.1,59.8,56.5,23088
레바논,🇱🇧,622235,25372.0,200.0,8286,588577.0,1.3,94.6,91164,6825445,Lebanon,2929966,21.4,23.5,19.3,28922
조지아,🇬🇪,607155,19430.0,102.5,8844,578881.0,1.5,95.3,152201,3989167,Georgia,1729672,23.2,26.0,20.5,12792
과테말라,🇬🇹,549560,30972.0,5.0,13375,505213.0,2.4,91.9,30718,17915568,Guatemala,6653056,18.9,24.7,12.8,76427
사우디아라비아,🇸🇦,546985,2255.0,244.0,8704,536026.0,1.6,98.0,15712,34813871,Saudi Arabia,41641659,61.1,68.3,53.9,107547
벨라루스,🇧🇾,532149,13486.0,351.5,4102,514561.0,0.8,96.7,56316,9449323,Belarus,3389520,17.9,19.8,16.0,26145
코스타리카,🇨🇷,521182,94789.0,459.0,6189,420204.0,1.2,80.6,102311,5094118,Costa Rica,5278407,52.0,64.5,39.5,58046
스리랑카,🇱🇰,513609,46397.0,609.0,12680,454532.0,2.5,88.5,24031,21413249,Sri Lanka,25961797,59.5,65.6,52.8,165400
에콰도르,🇪🇨,507858,31258.0,759.0,32720,443880.0,6.4,87.4,28830,17643054,Ecuador,20571335,59.6,64.2,57.0,16381
볼리비아,🇧🇴,498895,22679.0,220.0,18700,457516.0,3.7,91.7,42739,11673021,Bolivia,6646806,28.8,36.4,26.7,36349
불가리아,🇧🇬,492861,42325.0,540.0,20489,430047.0,4.2,87.3,71296,6948445,Bulgaria,2508560,18.0,17.3,18.8,6413
아제르바이잔,🇦🇿,481401,21957.0,300.5,6476,452968.0,1.3,94.1,47479,10139177,Azerbaijan,8293590,41.5,47.1,36.0,53402
파나마,🇵🇦,466178,3573.0,61.0,7208,455397.0,1.5,97.7,108042,4314767,Panama,5252959,62.3,69.1,55.6,199326
파라과이,🇵🇾,459828,940.0,23.0,16143,442745.0,3.5,96.3,64469,7132538,Paraguay,4488153,31.4,36.7,26.1,9687
미얀마,🇲🇲,458154,28672.0,17.5,17527,411955.0,3.8,89.9,8444,54409800,Myanmar,9001616,8.5,10.5,6.6,163440
쿠웨이트,🇰🇼,411484,656.0,12.0,2446,408382.0,0.6,99.2,96365,4270571,Kuwait,2380000,25.1,56.2,19.4,12990
슬로바키아,🇸🇰,408609,9865.0,99.0,12596,386148.0,3.1,94.5,74842,5459642,Slovakia,4752581,43.6,44.6,41.1,5873
크로아티아,🇭🇷,400108,7145.0,97.0,8606,384357.0,2.2,96.1,97462,4105267,Croatia,3404014,41.8,44.3,41.6,6633
우루과이,🇺🇾,388502,1412.0,14.0,6052,381038.0,1.6,98.1,111840,3473730,Uruguay,6162074,87.6,77.5,72.8,19504
아일랜드,🇮🇪,384677,41835.0,65.0,5209,337633.0,1.4,87.8,78116,4937786,Ireland,7186369,72.6,76.0,73.9,9531
베네수엘라,🇻🇪,363300,12285.0,681.0,4412,346603.0,1.2,95.4,12776,28435940,Venezuela,14050000,25.3,31.6,18.9,246316
온두라스,🇭🇳,363017,244399.0,451.0,9679,108939.0,2.7,30.0,36651,9904607,Honduras,5196072,26.6,32.8,20.4,46577
덴마크,🇩🇰,357370,4697.0,18.0,2646,350027.0,0.7,97.9,61698,5792202,Denmark,8808069,75.9,76.7,75.0,4889
도미니카 공화국,🇩🇴,357149,4763.0,170.0,4039,348347.0,1.1,97.5,32957,10847910,Dominican Republic,11793493,56.9,58.2,54.3,22970
에티오피아,🇪🇹,341714,27918.0,798.0,5401,308395.0,1.6,90.2,2978,114963588,Ethiopia,3493470,1.8,2.8,0.8,59558
리비아,🇱🇾,337890,77152.0,495.0,4617,256121.0,1.4,75.8,49174,6871292,Libya,1501622,11.4,20.3,2.5,13184
리투아니아,🇱🇹,326654,22457.0,192.0,4930,299267.0,1.5,91.6,119992,2722289,Lithuania,3339375,60.0,61.8,58.2,18337
오만,🇴🇲,303673,2661.0,22.0,4095,296917.0,1.3,97.8,59466,5106626,Oman,4636486,55.3,67.0,43.5,74904
대한민국,🇰🇷,303553,31965.0,319.0,2456,269132.0,0.8,88.7,5921,51269185,South Korea,61278670,59.3,73.6,44.9,371964
이집트,🇪🇬,301625,29967.0,90.0,17187,254471.0,5.7,84.4,2947,102334404,Egypt,13808798,7.0,8.8,5.1,268764
몽골,🇲🇳,296766,10829.0,192.0,1225,284712.0,0.4,95.9,90525,3278290,Mongolia,4545348,68.9,68.2,64.5,16573
슬로베니아,🇸🇮,289955,13494.0,68.0,4543,271918.0,1.6,93.8,139473,2078938,Slovenia,2103674,51.9,53.9,47.8,7002
몰도바,🇲🇩,289025,9071.0,161.0,6695,273259.0,2.3,94.5,71900,4033963,Moldova,1383749,25.8,22.9,28.7,3365
바레인,🇧🇭,274814,748.0,3.0,1389,272677.0,0.5,99.2,161543,1701575,Bahrain,2553691,86.0,78.4,74.9,2542
아르메니아,🇦🇲,259007,13438.0,47.5,5264,240305.0,2.0,92.8,87407,2963243,Armenia,366779,6.2,8.0,4.4,4437
케냐,🇰🇪,248515,2734.0,92.0,5109,240672.0,2.1,96.8,4622,53771296,Kenya,3613357,3.8,5.6,1.9,37464
카타르,🇶🇦,236388,1358.0,16.0,605,234425.0,0.3,99.2,82049,2881053,Qatar,4692503,83.9,84.4,79.4,4891
보스니아 헤르체고비나,🇧🇦,232237,29511.0,22.0,10508,192218.0,4.5,82.8,70786,3280819,Bosnia and Herzegovina,1060145,16.1,19.2,12.9,7334
잠비아,🇿🇲,208857,466.0,28.0,3646,204745.0,1.7,98.0,11361,18383955,Zambia,699210,1.9,1.8,1.6,7301
나이지리아,🇳🇬,204456,9159.0,11.0,2677,192620.0,1.3,94.2,993,206139589,Nigeria,6255025,1.6,2.2,0.9,35152
알제리,🇩🇿,202722,58093.0,18.0,5777,138852.0,2.8,68.5,4627,43851044,Algeria,9989662,11.5,13.4,9.6,284237
북마케도니아,🇲🇰,189999,12017.0,18.5,6607,171375.0,3.5,90.2,91198,2083374,North Macedonia,1482287,35.6,37.4,33.9,7431
노르웨이,🇳🇴,187217,97415.0,19.0,850,88952.0,0.5,47.5,34603,5421241,Norway,7728245,72.1,77.0,67.3,27277
키르기스스탄,🇰🇬,178317,2803.0,131.0,2602,172912.0,1.5,97.0,27332,6524195,Kyrgyzstan,1401008,11.0,12.6,9.3,10001
보츠와나,🇧🇼,176427,2016.0,1.0,2360,172051.0,1.3,97.5,75714,2351627,Botswana,606699,12.8,17.2,9.5,2729
우즈베키스탄,🇺🇿,172493,4069.0,23.0,1225,167199.0,0.7,96.9,5154,33469203,Uzbekistan,18526941,27.9,29.4,11.1,155946
알바니아,🇦🇱,167893,11634.0,3.0,2640,153619.0,1.6,91.5,58443,2877797,Albania,1693555,29.5,32.5,26.5,7044
아프가니스탄,🇦🇫,155093,23879.0,1124.0,7201,124013.0,4.6,80.0,3984,38928346,Afghanistan,3133227,4.2,2.6,1.2,658873
라트비아,🇱🇻,155076,7672.0,52.0,2689,144715.0,1.7,93.3,82216,1886198,Latvia,1596487,41.6,46.6,42.5,2810
에스토니아,🇪🇪,153926,10095.0,17.0,1346,142485.0,0.9,92.6,116036,1326535,Estonia,1357907,51.2,56.9,45.3,3538
모잠비크,🇲🇿,150530,2067.0,32.0,1909,146554.0,1.3,97.4,4816,31255435,Mozambique,3644423,5.8,6.1,5.6,54234
핀란드,🇫🇮,139678,92616.0,25.0,1062,46000.0,0.8,32.9,25209,5540720,Finland,7516670,68.1,74.8,61.5,20313
몬테네그로,🇲🇪,129648,7608.0,11.0,1895,120145.0,1.5,92.7,206969,628066,Montenegro,447473,35.9,38.3,33.6,1944
짐바브웨,🇿🇼,129625,2772.0,12.0,4604,122249.0,3.6,94.3,8721,14862924,Zimbabwe,5218672,17.5,20.3,14.7,31506
나미비아,🇳🇦,127261,1033.0,17.0,3494,122734.0,2.7,96.4,50129,2540905,Namibia,407502,8.3,10.1,6.5,4761
가나,🇬🇭,126621,3597.0,42.0,1146,121878.0,0.9,96.3,4075,31072940,Ghana,1643172,2.7,2.9,2.5,6409
우간다,🇺🇬,123245,24040.0,327.0,3146,96059.0,2.6,77.9,2694,45741007,Uganda,2058553,2.6,4.1,1.0,90201
키프로스,🇨🇾,118045,26737.0,39.0,553,90755.0,0.5,76.9,97771,1207359,Cyprus,1146345,65.4,67.7,62.5,2338
캄보디아,🇰🇭,109926,6480.0,68.33333333333333,2261,101185.0,2.1,92.0,6575,16718965,Cambodia,23538405,71.4,78.5,65.3,251805
코소보,🇽🇰,107507,-85.0,97.66666666666666,2269,105323.0,2.1,98.0,59381,1810463,Kosovo,1241949,34.5,42.1,26.9,15719
엘살바도르,🇸🇻,102024,13846.0,127.0,3197,84981.0,3.1,83.3,16088,6486205,El Salvador,7297994,56.5,62.1,51.0,43216
호주,🇦🇺,99033,23008.0,301.0,1244,74781.0,1.3,75.5,3884,25499884,Australia,26660961,52.2,62.4,41.2,291641
르완다,🇷🇼,96839,50123.0,11.0,1252,45464.0,1.3,46.9,7488,12952218,Rwanda,3409470,13.7,15.9,11.6,31159
중국,🇨🇳,96050,1012.0,20.5,4636,90402.0,4.8,94.1,67,1439323776,Mainland China,2197689000,78.5,78.6,73.0,3378000
싱가포르,🇸🇬,87892,13162.0,30.0,78,74652.0,0.1,84.9,15023,5850342,Singapore,9256975,81.1,82.0,80.1,21746
카메룬,🇨🇲,85414,3613.0,152.0,1368,80433.0,1.6,94.2,3218,26545863,Cameroon,459397,0.9,1.5,0.3,2177
몰디브,🇲🇻,84362,1564.0,23.0,231,82567.0,0.3,97.9,156294,540544,Maldives,724971,97.4,105.2,89.7,1005
자메이카,🇯🇲,82778,28847.0,31.0,1834,52097.0,2.2,62.9,27955,2961167,Jamaica,715860,13.1,19.0,8.1,1565
룩셈부르크,🇱🇺,77762,1162.0,8.0,835,75765.0,1.1,97.4,124225,625978,Luxembourg,781851,63.7,67.5,65.1,441
세네갈,🇸🇳,73747,280.0,10.0,1855,71612.0,2.5,97.1,4404,16743927,Senegal,1784832,5.5,7.6,3.5,2395
말라위,🇲🇼,61509,4640.0,67.0,2276,54593.0,3.7,88.8,3216,19129952,Malawi,1061153,2.6,3.8,2.4,10207
코트디부아르,🇨🇮,59879,1800.0,47.33333333333333,600,57479.0,1.0,96.0,2270,26378274,Ivory Coast,1903064,3.6,5.4,1.3,28114
콩고민주공화국,🇨🇩,56617,24676.0,27.666666666666664,1083,30858.0,1.9,54.5,635,89561403,DR Congo,134860,0.1,0.1,0.1,1463
앙골라,🇦🇴,55121,6347.0,8.0,1501,47273.0,2.7,85.8,1677,32866272,Angola,2820134,4.7,6.1,3.3,50114
피지,🇫🇯,50755,13458.0,39.0,590,36707.0,1.2,72.3,56676,896445,Fiji,975268,54.5,65.7,43.3,9017
트리니다드 토바고,🇹🇹,49949,4316.0,22.0,1457,44176.0,2.9,88.4,35691,1399488,Trinidad and Tobago,1041836,37.3,40.6,34.1,3747
에스와티니,🇸🇿,45770,667.0,10.0,1212,43891.0,2.6,95.9,39451,1160164,Eswatini,239551,10.7,18.5,17.9,2845
마다가스카르,🇲🇬,42898,618.0,3.0,958,41322.0,2.2,96.3,1549,27691018,Madagascar,381633,0.7,0.7,0.7,7039
수리남,🇸🇷,39908,12199.0,19.0,845,26864.0,2.1,67.3,68029,586632,Suriname,391985,32.8,37.6,28.0,2086
수단,🇸🇩,38201,3269.0,21.0,2894,32038.0,7.6,83.9,872,43849260,Sudan,1499982,1.7,1.5,1.3,19164
카보베르데,🇨🇻,37448,666.0,23.0,334,36448.0,0.9,97.3,67354,555987,Cape Verde,402075,36.6,51.3,21.8,5019
몰타 공화국,🇲🇹,37103,787.0,4.0,457,35859.0,1.2,96.6,84030,441543,Malta,816727,82.7,85.1,85.0,718
모리타니,🇲🇷,35859,800.0,22.0,768,34291.0,2.1,95.6,7712,4649658,Mauritania,876371,10.8,7.8,0.5,2014
가이아나,🇬🇾,31148,4116.0,33.0,762,26270.0,2.4,84.3,39601,786552,Guyana,533843,34.0,44.8,23.2,2973
기니,🇬🇳,30362,1252.0,24.0,377,28733.0,1.2,94.6,2312,13132795,Guinea,1554669,5.7,7.8,3.6,37929
가봉,🇬🇦,29126,2407.0,23.0,178,26541.0,0.6,91.1,13086,2225734,Gabon,177392,4.3,4.9,3.7,1984
토고,🇹🇬,25218,2671.0,14.0,226,22321.0,0.9,88.5,3050,8278724,Togo,832822,5.2,5.5,4.8,12920
베냉,🇧🇯,22958,5510.0,5.0,154,17294.0,0.7,75.3,1894,12123200,Benin,214396,0.9,1.3,0.2,5496
라오스,🇱🇦,22441,16857.0,8.333333333333334,16,5568.0,0.1,24.8,3084,7275560,Laos,4402770,30.7,39.1,26.7,9906
세이셸,🇸🇨,21257,485.0,11.666666666666668,115,20657.0,0.5,97.2,216143,98347,Seychelles,148402,77.3,80.5,74.1,154
바하마,🇧🇸,20603,1816.0,15.0,522,18265.0,2.5,88.7,52830,393244,Bahamas,184461,24.2,30.0,18.4,611
소말리아,🇸🇴,19723,9206.0,12.5,1103,9414.0,5.6,47.7,1241,15893222,Somalia,430762,1.4,1.7,1.2,12993
벨리즈,🇧🇿,19600,1951.0,10.0,402,17247.0,2.1,88.0,49292,397628,Belize,298343,36.6,45.9,27.2,3113
파푸아뉴기니,🇵🇬,19523,943.0,7.0,227,18353.0,1.2,94.0,2182,8947024,Papua New Guinea,164776,1.0,1.4,0.5,2517
